"board","combo","reach_probability","fold_frequency","call_frequency","raise_frequency","ev_fold_utg","ev_call_utg","ev_raise_utg","mixed_ev_utg","best_ev_action","best_ev_utg","highest_frequency_action","highest_frequency","loss_if_fold_utg","loss_if_call_utg","loss_if_raise_utg","iteration","exploitability"
"As Kh Qd","4c4h","0,924262","0,998079","0,001921","0","0","-0,0065899","-0,9172455","-1,26591979E-05","F","0","F","0,998079","0","0,0065899","0,9172455","140","0,4842897355556488"
"As Kh Qd","4c4s","0,142748","0,999998","2E-06","0","0","-0,0192741","-0,9040035","-3,85482E-08","F","0","F","0,999998","0","0,0192741","0,9040035","140","0,4842897355556488"
"As Kh Qd","4c5c","7,42274","1","0","0","0","-0,6898853","-1,6778282","0","F","0","F","1","0","0,6898853","1,6778282","140","0,4842897355556488"
"As Kh Qd","4cAc","9,51996","0","1","0","0","0,930952","0,410406","0,930952","C","0,930952","C","1","0,930952","0","0,520546","140","0,4842897355556488"
"As Kh Qd","4d4h","0,867502","0,907505","0,092495","0","0","0,0399555","-0,953796","0,0036956839725","C","0,0399555","F","0,907505","0,0399555","0","0,9937515","140","0,4842897355556488"
"As Kh Qd","4d4s","0,288634","0,97229","0,02771","0","0","0,0197952","-0,9446175","0,000548524992","C","0,0197952","F","0,97229","0,0197952","0","0,9644127","140","0,4842897355556488"
"As Kh Qd","4d5d","6,72621","1","0","0","0","-0,5714355","-1,4114635","0","F","0","F","1","0","0,5714355","1,4114635","140","0,4842897355556488"
"As Kh Qd","4dAd","11,5217","0","1","0","0","1,47769","1,42948","1,47769","C","1,47769","C","1","1,47769","0","0,0482099999999999","140","0,4842897355556488"
"As Kh Qd","4h4s","0,30541","0,960868","0,039132","0","0","0,0257053","-0,9334156","0,0010058997996","C","0,0257053","F","0,960868","0,0257053","0","0,9591209","140","0,4842897355556488"
"As Kh Qd","4h5h","6,11632","1","0","0","0","-0,5524406","-1,3516613","0","F","0","F","1","0","0,5524406","1,3516613","140","0,4842897355556488"
"As Kh Qd","4hAh","11,8987","0","1","0","0","1,45945","1,40452","1,45945","C","1,45945","C","1","1,45945","0","0,0549299999999999","140","0,4842897355556488"
"As Kh Qd","4s5s","3,43308","1","0","0","0","-0,5027336","-1,2933147","0","F","0","F","1","0","0,5027336","1,2933147","140","0,4842897355556488"
"As Kh Qd","5c5d","2,24084","0,997672","0,002327","0","0","-0,0041847","-0,8355438","-9,7377969E-06","F","0","F","0,997672","0","0,0041847","0,8355438","140","0,4842897355556488"
"As Kh Qd","5c5h","2,25024","0,987868","0,012132","0","0","0,0124607","-0,8239105","0,0001511732124","C","0,0124607","F","0,987868","0,0124607","0","0,8363712","140","0,4842897355556488"
"As Kh Qd","5c5s","2,02046","0,999386","0,000614","0","0","-0,0134392","-0,8054165","-8,2516688E-06","F","0","F","0,999386","0","0,0134392","0,8054165","140","0,4842897355556488"
"As Kh Qd","5c6c","7,73638","1","0","0","0","-0,7767071","-1,71166","0","F","0","F","1","0","0,7767071","1,71166","140","0,4842897355556488"
"As Kh Qd","5cKc","9,21479","0,632844","0,367156","0","0","0,0856096","-0,4712872","0,0314320782976","C","0,0856096","F","0,632844","0,0856096","0","0,5568968","140","0,4842897355556488"
"As Kh Qd","5cAc","9,18898","0","1","0","0","0,92558","0,521396","0,92558","C","0,92558","C","1","0,92558","0","0,404184","140","0,4842897355556488"
"As Kh Qd","5d5h","2,49564","0,960134","0,039866","0","0","0,0297577","-0,8962006","0,0011863204682","C","0,0297577","F","0,960134","0,0297577","0","0,9259583","140","0,4842897355556488"
"As Kh Qd","5d5s","2,35179","0,999626","0,000374","0","0","-0,0086716","-0,8889408","-3,2431784E-06","F","0","F","0,999626","0","0,0086716","0,8889408","140","0,4842897355556488"
"As Kh Qd","5d6d","7,53256","1","0","0","0","-0,6948063","-1,5318241","0","F","0","F","1","0","0,6948063","1,5318241","140","0,4842897355556488"
"As Kh Qd","5dKd","8,45581","0,056841","0,943159","0","0","0,251468","0,0953676","0,237174307412","C","0,251468","C","0,943159","0,251468","0","0,1561004","140","0,4842897355556488"
"As Kh Qd","5dAd","10,6718","0","0,984947","0,015053","0","1,44608","1,44678","1,4460905371","R","1,44678","C","0,984947","1,44678","0,000699999999999923","0","140","0,4842897355556488"
"As Kh Qd","5h5s","2,43766","0,998177","0,001823","0","0","-0,0044624","-0,8853149","-8,1349552E-06","F","0","F","0,998177","0","0,0044624","0,8853149","140","0,4842897355556488"
"As Kh Qd","5h6h","7,53591","1","0","0","0","-0,6719677","-1,4694302","0","F","0","F","1","0","0,6719677","1,4694302","140","0,4842897355556488"
"As Kh Qd","5hAh","12,088","0","1","0","0","1,45223","1,4351","1,45223","C","1,45223","C","1","1,45223","0","0,0171299999999999","140","0,4842897355556488"
"As Kh Qd","5s6s","7,43771","1","0","0","0","-0,6507442","-1,4522404","0","F","0","F","1","0","0,6507442","1,4522404","140","0,4842897355556488"
"As Kh Qd","5sKs","8,90583","0","1","0","0","0,698273","0,438625","0,698273","C","0,698273","C","1","0,698273","0","0,259648","140","0,4842897355556488"
"As Kh Qd","6c6d","4,13214","0,999388","0,000612","0","0","-0,0024723","-0,6125935","-1,5130476E-06","F","0","F","0,999388","0","0,0024723","0,6125935","140","0,4842897355556488"
"As Kh Qd","6c6h","4,17145","0,993036","0,006964","0","0","0,0076389","-0,6083378","5,31972996E-05","C","0,0076389","F","0,993036","0,0076389","0","0,6159767","140","0,4842897355556488"
"As Kh Qd","6c6s","4,33073","0,996072","0,003928","0","0","0,0022068","-0,6090183","8,6683104E-06","C","0,0022068","F","0,996072","0,0022068","0","0,6112251","140","0,4842897355556488"
"As Kh Qd","6c7c","8,14366","1","0","0","0","-0,7941746","-1,6485809","0","F","0","F","1","0","0,7941746","1,6485809","140","0,4842897355556488"
"As Kh Qd","6c8c","0,060234","1","0","0","0","-0,7759174","-1,6604286","0","F","0","F","1","0","0,7759174","1,6604286","140","0,4842897355556488"
"As Kh Qd","6cKc","7,54718","0,559806","0,440194","0","0","0,119287","-0,4059544","0,052509421678","C","0,119287","F","0,559806","0,119287","0","0,5252414","140","0,4842897355556488"
"As Kh Qd","6cAc","8,47414","0","1","0","0","0,928478","0,546774","0,928478","C","0,928478","C","1","0,928478","0","0,381704","140","0,4842897355556488"
"As Kh Qd","6d6h","4,09684","0,84044","0,15956","0","0","0,0493137","-0,5833477","0,007868493972","C","0,0493137","F","0,84044","0,0493137","0","0,6326614","140","0,4842897355556488"
"As Kh Qd","6d6s","3,8107","0,915488","0,084512","0","0","0,0349377","-0,5860836","0,0029526549024","C","0,0349377","F","0,915488","0,0349377","0","0,6210213","140","0,4842897355556488"
"As Kh Qd","6d7d","8,01526","1","0","0","0","-0,6646107","-1,3633781","0","F","0","F","1","0","0,6646107","1,3633781","140","0,4842897355556488"
"As Kh Qd","6d8d","0,059325","1","0","0","0","-0,6427685","-1,3610462","0","F","0","F","1","0","0,6427685","1,3610462","140","0,4842897355556488"
"As Kh Qd","6dKd","7,38534","0,004174","0,995826","0","0","0,370934","0,241937","0,369385721484","C","0,370934","C","0,995826","0,370934","0","0,128997","140","0,4842897355556488"
"As Kh Qd","6dAd","11,1986","0","0,999658","0,000342","0","1,57994","1,5732","1,57993769492","C","1,57994","C","0,999658","1,57994","0","0,00674000000000019","140","0,4842897355556488"
"As Kh Qd","6h6s","4,0123","0,904776","0,095224","0","0","0,0398308","-0,5852692","0,0037928480992","C","0,0398308","F","0,904776","0,0398308","0","0,6251","140","0,4842897355556488"
"As Kh Qd","6h7h","8,01303","1","0","0","0","-0,6396759","-1,2915565","0","F","0","F","1","0","0,6396759","1,2915565","140","0,4842897355556488"
"As Kh Qd","6h8h","0,059465","1","0","0","0","-0,6105656","-1,2797806","0","F","0","F","1","0","0,6105656","1,2797806","140","0,4842897355556488"
"As Kh Qd","6hAh","12,5324","0","1","0","0","1,5731","1,55049","1,5731","C","1,5731","C","1","1,5731","0","0,02261","140","0,4842897355556488"
"As Kh Qd","6s7s","7,79471","1","0","0","0","-0,5970432","-1,2756977","0","F","0","F","1","0","0,5970432","1,2756977","140","0,4842897355556488"
"As Kh Qd","6s8s","0,05922","1","0","0","0","-0,587418","-1,2567886","0","F","0","F","1","0","0,587418","1,2567886","140","0,4842897355556488"
"As Kh Qd","6sKs","7,86964","0","1","0","0","0,7776","0,577514","0,7776","C","0,7776","C","1","0,7776","0","0,200086","140","0,4842897355556488"
"As Kh Qd","7c7d","6,80893","0,998478","0,001522","0","0","-0,0003674","-0,6096973","-5,591828E-07","F","0","F","0,998478","0","0,0003674","0,6096973","140","0,4842897355556488"
"As Kh Qd","7c7h","7,12557","0,985609","0,014391","0","0","0,0122681","-0,5973259","0,0001765502271","C","0,0122681","F","0,985609","0,0122681","0","0,609594","140","0,4842897355556488"
"As Kh Qd","7c7s","7,1089","0,983594","0,016406","0","0","0,0138718","-0,5914845","0,0002275807508","C","0,0138718","F","0,983594","0,0138718","0","0,6053563","140","0,4842897355556488"
"As Kh Qd","7c8c","6,38397","1","0","0","0","-0,7729446","-1,6596664","0","F","0","F","1","0","0,7729446","1,6596664","140","0,4842897355556488"
"As Kh Qd","7cKc","4,60453","0,564106","0,435894","0","0","0,125331","-0,4112186","0,054631030914","C","0,125331","F","0,564106","0,125331","0","0,5365496","140","0,4842897355556488"
"As Kh Qd","7cAc","8,49018","0","1","0","0","0,942267","0,544452","0,942267","C","0,942267","C","1","0,942267","0","0,397815","140","0,4842897355556488"
"As Kh Qd","7d7h","5,61139","0,877599","0,122401","0","0","0,0404716","-0,5689152","0,0049537643116","C","0,0404716","F","0,877599","0,0404716","0","0,6093868","140","0,4842897355556488"
"As Kh Qd","7d7s","5,9411","0,932814","0,067186","0","0","0,0324699","-0,5674232","0,0021815227014","C","0,0324699","F","0,932814","0,0324699","0","0,5998931","140","0,4842897355556488"
"As Kh Qd","7d8d","6,28732","1","0","0","0","-0,6447578","-1,3598843","0","F","0","F","1","0","0,6447578","1,3598843","140","0,4842897355556488"
"As Kh Qd","7dKd","4,70189","0,005026","0,994974","0","0","0,390585","0,242443","0,38862191979","C","0,390585","C","0,994974","0,390585","0","0,148142","140","0,4842897355556488"
"As Kh Qd","7dAd","11,9413","0","0,999999","1E-06","0","1,59722","1,58062","1,5972199834","C","1,59722","C","0,999999","1,59722","0","0,0165999999999999","140","0,4842897355556488"
"As Kh Qd","7h7s","6,05742","0,915016","0,084984","0","0","0,0378872","-0,5654778","0,0032198058048","C","0,0378872","F","0,915016","0,0378872","0","0,603365","140","0,4842897355556488"
"As Kh Qd","7h8h","6,30678","1","0","0","0","-0,6086121","-1,2688873","0","F","0","F","1","0","0,6086121","1,2688873","140","0,4842897355556488"
"As Kh Qd","7hAh","12,7385","0","1","0","0","1,58899","1,56203","1,58899","C","1,58899","C","1","1,58899","0","0,0269600000000001","140","0,4842897355556488"
"As Kh Qd","7s8s","6,29121","1","0","0","0","-0,5836349","-1,2357334","0","F","0","F","1","0","0,5836349","1,2357334","140","0,4842897355556488"
"As Kh Qd","7sKs","5,17549","0","1","0","0","0,804961","0,594562","0,804961","C","0,804961","C","1","0,804961","0","0,210399","140","0,4842897355556488"
"As Kh Qd","8c8d","11,133","0,95614","0,04386","0","0","0,0169945","-0,6243061","0,00074537877","C","0,0169945","F","0,95614","0,0169945","0","0,6413006","140","0,4842897355556488"
"As Kh Qd","8c8h","11,3791","0,970764","0,029236","0","0","0,0360134","-0,6089668","0,0010528877624","C","0,0360134","F","0,970764","0,0360134","0","0,6449802","140","0,4842897355556488"
"As Kh Qd","8c8s","11,4348","0,990254","0,009746","0","0","0,0113613","-0,6014736","0,0001107272298","C","0,0113613","F","0,990254","0,0113613","0","0,6128349","140","0,4842897355556488"
"As Kh Qd","8c9c","3,54226","1","0","0","0","-0,7820045","-1,700164","0","F","0","F","1","0","0,7820045","1,700164","140","0,4842897355556488"
"As Kh Qd","8cTc","0,013727","0,379178","0,620822","0","0","0,126575","-0,3951488","0,07858054465","C","0,126575","C","0,620822","0,126575","0","0,5217238","140","0,4842897355556488"
"As Kh Qd","8cKc","15,2987","0,630683","0,369317","0","0","0,0894329","-0,42071","0,0330290903293","C","0,0894329","F","0,630683","0,0894329","0","0,5101429","140","0,4842897355556488"
"As Kh Qd","8cAc","7,20335","0","1","0","0","0,956908","0,578405","0,956908","C","0,956908","C","1","0,956908","0","0,378503","140","0,4842897355556488"
"As Kh Qd","8d8h","10,5312","0,908903","0,091097","0","0","0,0358372","-0,58745","0,0032646614084","C","0,0358372","F","0,908903","0,0358372","0","0,6232872","140","0,4842897355556488"
"As Kh Qd","8d8s","10,3922","0,897445","0,102555","0","0","0,0228737","-0,5596577","0,0023458123035","C","0,0228737","F","0,897445","0,0228737","0","0,5825314","140","0,4842897355556488"
"As Kh Qd","8d9d","3,45005","1","0","0","0","-0,5931351","-1,3455463","0","F","0","F","1","0","0,5931351","1,3455463","140","0,4842897355556488"
"As Kh Qd","8dTd","0,000521","1,4E-05","0,999984","1E-06","0","0,455885","0,302324","0,455878008164","C","0,455885","C","0,999984","0,455885","0","0,153561","140","0,4842897355556488"
"As Kh Qd","8dKd","14,1116","0,019192","0,98079","1,8E-05","0","0,325823","0,258223","0,319568588184","C","0,325823","C","0,98079","0,325823","0","0,0676","140","0,4842897355556488"
"As Kh Qd","8dAd","11,3455","0","0,99834","0,00166","0","1,60327","1,59687","1,603259376","C","1,60327","C","0,99834","1,60327","0","0,00639999999999974","140","0,4842897355556488"
"As Kh Qd","8h8s","10,6219","0,914876","0,085124","0","0","0,0314716","-0,5597351","0,0026789884784","C","0,0314716","F","0,914876","0,0314716","0","0,5912067","140","0,4842897355556488"
"As Kh Qd","8h9h","3,46071","1","0","0","0","-0,5967247","-1,2453732","0","F","0","F","1","0","0,5967247","1,2453732","140","0,4842897355556488"
"As Kh Qd","8hTh","0,00395","0,000109","0,99989","0","0","0,473962","0,311092","0,47390986418","C","0,473962","C","0,99989","0,473962","0","0,16287","140","0,4842897355556488"
"As Kh Qd","8hAh","12,4932","0","1","0","0","1,59738","1,58236","1,59738","C","1,59738","C","1","1,59738","0","0,01502","140","0,4842897355556488"
"As Kh Qd","8s9s","3,4677","1","0","0","0","-0,5759243","-1,1924183","0","F","0","F","1","0","0,5759243","1,1924183","140","0,4842897355556488"
"As Kh Qd","8sTs","0,001273","2,3E-05","0,999968","8E-06","0","0,471938","0,309906","0,471925377232","C","0,471938","C","0,999968","0,471938","0","0,162032","140","0,4842897355556488"
"As Kh Qd","8sKs","15,0694","0","1","0","0","0,714196","0,6171","0,714196","C","0,714196","C","1","0,714196","0","0,0970960000000001","140","0,4842897355556488"
"As Kh Qd","9c9d","28,5618","0,991393","0,008607","0","0","0,005246","-0,6870716","4,5152322E-05","C","0,005246","F","0,991393","0,005246","0","0,6923176","140","0,4842897355556488"
"As Kh Qd","9c9h","28,8921","1","0","0","0","-0,0179543","-0,6714497","0","F","0","F","1","0","0,0179543","0,6714497","140","0,4842897355556488"
"As Kh Qd","9c9s","29,5236","1","0","0","0","-0,021093","-0,6221226","0","F","0","F","1","0","0,021093","0,6221226","140","0,4842897355556488"
"As Kh Qd","9cTc","2,96959","0,479166","0,520834","0","0","0,104213","-0,4231216","0,054277673642","C","0,104213","C","0,520834","0,104213","0","0,5273346","140","0,4842897355556488"
"As Kh Qd","9cJc","2,78381","0,788075","0,211925","0","0","0,0184402","-0,4320438","0,003907939385","C","0,0184402","F","0,788075","0,0184402","0","0,450484","140","0,4842897355556488"
"As Kh Qd","9cQc","17,9233","0,760654","0,239346","0","0","0,0313618","-0,2707439","0,0075063213828","C","0,0313618","F","0,760654","0,0313618","0","0,3021057","140","0,4842897355556488"
"As Kh Qd","9cKc","15,4844","0,659494","0,340506","0","0","0,0602842","-0,4625179","0,0205271318052","C","0,0602842","F","0,659494","0,0602842","0","0,5228021","140","0,4842897355556488"
"As Kh Qd","9cAc","5,08688","0","1","0","0","1,00567","0,644089","1,00567","C","1,00567","C","1","1,00567","0","0,361581","140","0,4842897355556488"
"As Kh Qd","9d9h","24,6826","0,959603","0,040397","0","0","0,0235039","-0,6328358","0,0009494870483","C","0,0235039","F","0,959603","0,0235039","0","0,6563397","140","0,4842897355556488"
"As Kh Qd","9d9s","24,8406","0,966168","0,033832","0","0","0,0198711","-0,5854038","0,0006722790552","C","0,0198711","F","0,966168","0,0198711","0","0,6052749","140","0,4842897355556488"
"As Kh Qd","9dTd","0,161821","0","0,99926","0,00074","0","0,513379","0,359378","0,51326503926","C","0,513379","C","0,99926","0,513379","0","0,154001","140","0,4842897355556488"
"As Kh Qd","9dJd","0,192468","4,3E-05","0,764653","0,235304","0","0,473269","0,416459","0,459881029193","C","0,473269","C","0,764653","0,473269","0","0,05681","140","0,4842897355556488"
"As Kh Qd","9dKd","14,1809","0,050293","0,947223","0,002484","0","0,29593","0,256203","0,280948110642","C","0,29593","C","0,947223","0,29593","0","0,039727","140","0,4842897355556488"
"As Kh Qd","9dAd","10,1627","0","0,999415","0,000585","0","1,63089","1,62671","1,6308875547","C","1,63089","C","0,999415","1,63089","0","0,00418000000000029","140","0,4842897355556488"
"As Kh Qd","9h9s","25,0974","0,99637","0,00363","0","0","-0,0015923","-0,5677738","-5,780049E-06","F","0","F","0,99637","0","0,0015923","0,5677738","140","0,4842897355556488"
"As Kh Qd","9hTh","0,269087","4E-06","0,999266","0,000731","0","0,468989","0,343868","0,468896129582","C","0,468989","C","0,999266","0,468989","0","0,125121","140","0,4842897355556488"
"As Kh Qd","9hJh","0,574659","0,000146","0,771658","0,228196","0","0,396885","0,364487","0,389433960782","C","0,396885","C","0,771658","0,396885","0","0,032398","140","0,4842897355556488"
"As Kh Qd","9hQh","16,1134","0,029128","0,970872","0","0","0,237151","0,20103","0,230243265672","C","0,237151","C","0,970872","0,237151","0","0,036121","140","0,4842897355556488"
"As Kh Qd","9hAh","10,5639","0","0,996902","0,003098","0","1,57743","1,57437","1,57742052012","C","1,57743","C","0,996902","1,57743","0","0,00306000000000006","140","0,4842897355556488"
"As Kh Qd","9sTs","0,184354","0","0,999846","0,000154","0","0,516418","0,360143","0,51639393365","C","0,516418","C","0,999846","0,516418","0","0,156275","140","0,4842897355556488"
"As Kh Qd","9sJs","0,14748","4,1E-05","0,591702","0,408257","0","0,4032","0,440993","0,418612725601","R","0,440993","C","0,591702","0,440993","0,037793","0","140","0,4842897355556488"
"As Kh Qd","9sQs","14,9798","0","1","0","0","0,537366","0,463999","0,537366","C","0,537366","C","1","0,537366","0","0,073367","140","0,4842897355556488"
"As Kh Qd","9sKs","14,2858","0","0,998243","0,001757","0","0,638056","0,637872","0,638055676712","C","0,638056","C","0,998243","0,638056","0","0,000183999999999962","140","0,4842897355556488"
"As Kh Qd","TcTd","10,4485","0,005429","0,99456","1,1E-05","0","0,354607","0,28119","0,35268103101","C","0,354607","C","0,99456","0,354607","0","0,073417","140","0,4842897355556488"
"As Kh Qd","TcTh","10,4277","0,007831","0,992133","3,7E-05","0","0,346895","0,306218","0,344177307101","C","0,346895","C","0,992133","0,346895","0","0,040677","140","0,4842897355556488"
"As Kh Qd","TcTs","10,367","0,025005","0,974215","0,00078","0","0,324011","0,302829","0,315892582985","C","0,324011","C","0,974215","0,324011","0","0,021182","140","0,4842897355556488"
"As Kh Qd","TcJc","8,15015","0","0,98998","0,01002","0","17,1747","17,174","17,174692986","C","17,1747","C","0,98998","17,1747","0","0,000700000000001921","140","0,4842897355556488"
"As Kh Qd","TcQc","12,6664","0","0,988294","0,011706","0","0,905016","0,906935","0,905038463814","R","0,906935","C","0,988294","0,906935","0,001919","0","140","0,4842897355556488"
"As Kh Qd","TcQh","0,719332","0","1","0","0","0,881001","0,731961","0,881001","C","0,881001","C","1","0,881001","0","0,14904","140","0,4842897355556488"
"As Kh Qd","TcQs","0,676684","0","0,999995","5E-06","0","1,00842","0,92772","1,0084195965","C","1,00842","C","0,999995","1,00842","0","0,0806999999999998","140","0,4842897355556488"
"As Kh Qd","TcKc","11,0774","0","1","0","0","1,05714","0,931947","1,05714","C","1,05714","C","1","1,05714","0","0,125193","140","0,4842897355556488"
"As Kh Qd","TcKd","3,31064","0","1","0","0","1,05656","0,723385","1,05656","C","1,05656","C","1","1,05656","0","0,333175","140","0,4842897355556488"
"As Kh Qd","TcKs","3,51451","0","1","0","0","1,09128","0,965129","1,09128","C","1,09128","C","1","1,09128","0","0,126151","140","0,4842897355556488"
"As Kh Qd","TcAc","9,89839","0","1","0","0","2,12789","2,09016","2,12789","C","2,12789","C","1","2,12789","0","0,0377299999999998","140","0,4842897355556488"
"As Kh Qd","TcAd","9,53732","0","1","0","0","2,32999","2,18211","2,32999","C","2,32999","C","1","2,32999","0","0,14788","140","0,4842897355556488"
"As Kh Qd","TcAh","9,7492","0","1","0","0","2,24933","2,19518","2,24933","C","2,24933","C","1","2,24933","0","0,0541500000000004","140","0,4842897355556488"
"As Kh Qd","TdTh","9,01873","0,002228","0,948807","0,048965","0","0,366282","0,345509","0,364448773759","C","0,366282","C","0,948807","0,366282","0","0,020773","140","0,4842897355556488"
"As Kh Qd","TdTs","9,81425","0,015863","0,920465","0,063672","0","0,340044","0,294165","0,33172867434","C","0,340044","C","0,920465","0,340044","0","0,045879","140","0,4842897355556488"
"As Kh Qd","TdJd","7,96235","0","0,908204","0,091796","0","17,5243","17,5063","17,522647672","C","17,5243","C","0,908204","17,5243","0","0,0180000000000007","140","0,4842897355556488"
"As Kh Qd","TdQc","0,500366","0","1","0","0","0,977781","0,89469","0,977781","C","0,977781","C","1","0,977781","0","0,083091","140","0,4842897355556488"
"As Kh Qd","TdQh","0,502293","0","0,999978","2,2E-05","0","0,932819","0,820822","0,932816536066","C","0,932819","C","0,999978","0,932819","0","0,111997","140","0,4842897355556488"
"As Kh Qd","TdQs","0,380262","0","0,999957","4,3E-05","0","1,06355","0,952166","1,063545210488","C","1,06355","C","0,999957","1,06355","0","0,111384","140","0,4842897355556488"
"As Kh Qd","TdKc","2,98702","0","1","0","0","1,07125","0,757158","1,07125","C","1,07125","C","1","1,07125","0","0,314092","140","0,4842897355556488"
"As Kh Qd","TdKd","12,5987","0","0,927841","0,072159","0","1,51623","1,52582","1,51692200481","R","1,52582","C","0,927841","1,52582","0,00958999999999999","0","140","0,4842897355556488"
"As Kh Qd","TdKs","3,07108","0","1","0","0","1,12942","0,979984","1,12942","C","1,12942","C","1","1,12942","0","0,149436","140","0,4842897355556488"
"As Kh Qd","TdAc","8,0916","0","1","0","0","2,11837","2,00111","2,11837","C","2,11837","C","1","2,11837","0","0,11726","140","0,4842897355556488"
"As Kh Qd","TdAd","9,27975","0","0,932906","0,067094","0","2,86816","2,86634","2,86803788892","C","2,86816","C","0,932906","2,86816","0","0,00181999999999993","140","0,4842897355556488"
"As Kh Qd","TdAh","8,57643","0","1","0","0","2,25971","2,15161","2,25971","C","2,25971","C","1","2,25971","0","0,1081","140","0,4842897355556488"
"As Kh Qd","ThTs","9,29906","0,019185","0,90054","0,080276","0","0,330327","0,30133","0,32166224366","C","0,330327","C","0,90054","0,330327","0","0,028997","140","0,4842897355556488"
"As Kh Qd","ThJh","6,1254","0","0,839237","0,160763","0","17,4032","17,3632","17,39676948","C","17,4032","C","0,839237","17,4032","0","0,0400000000000027","140","0,4842897355556488"
"As Kh Qd","ThQc","0,611916","0","0,999998","2E-06","0","0,913914","0,881763","0,913913935698","C","0,913914","C","0,999998","0,913914","0","0,0321509999999999","140","0,4842897355556488"
"As Kh Qd","ThQh","12,661","0","0,932309","0,067691","0","1,331","1,32534","1,33061686894","C","1,331","C","0,932309","1,331","0","0,00566","140","0,4842897355556488"
"As Kh Qd","ThQs","0,485557","0","0,999683","0,000317","0","0,996259","0,906378","0,996230507723","C","0,996259","C","0,999683","0,996259","0","0,0898810000000001","140","0,4842897355556488"
"As Kh Qd","ThKc","3,05946","0","1","0","0","1,07854","0,832126","1,07854","C","1,07854","C","1","1,07854","0","0,246414","140","0,4842897355556488"
"As Kh Qd","ThKd","2,89232","0","1","0","0","1,09878","0,792542","1,09878","C","1,09878","C","1","1,09878","0","0,306238","140","0,4842897355556488"
"As Kh Qd","ThKs","3,17156","0","1","0","0","1,13358","1,00858","1,13358","C","1,13358","C","1","1,13358","0","0,125","140","0,4842897355556488"
"As Kh Qd","ThAc","8,48236","0","1","0","0","2,14105","2,04339","2,14105","C","2,14105","C","1","2,14105","0","0,0976599999999999","140","0,4842897355556488"
"As Kh Qd","ThAd","8,57727","0","1","0","0","2,35663","2,14667","2,35663","C","2,35663","C","1","2,35663","0","0,20996","140","0,4842897355556488"
"As Kh Qd","ThAh","8,95374","0","0,939049","0,060951","0","2,83744","2,83593","2,83734796399","C","2,83744","C","0,939049","2,83744","0","0,00150999999999968","140","0,4842897355556488"
