"board","combo","reach_probability","fold_frequency","call_frequency","raise_frequency","ev_fold_btn","ev_call_btn","ev_raise_btn","mixed_ev_btn","best_ev_action","best_ev_btn","highest_frequency_action","highest_frequency","loss_if_fold_btn","loss_if_call_btn","loss_if_raise_btn","iteration","exploitability"
"As Kh Qd","3s5s","8,58598","0,543466","0","0,456534","0","-0,0506844","0,0460457","0,0210214276038","R","0,0460457","F","0,543466","0,0460457","0,0967301","0","140","0,4842897355556488"
"As Kh Qd","4c4d","40,2232","0,891441","0,108559","0","0","-0,0256344","-0,0380024","-0,0027828448296","F","0","F","0,891441","0","0,0256344","0,0380024","140","0,4842897355556488"
"As Kh Qd","4c4h","40,2188","0,950682","0,049318","0","0","-0,0312523","-0,0387157","-0,0015413009314","F","0","F","0,950682","0","0,0312523","0,0387157","140","0,4842897355556488"
"As Kh Qd","4c4s","40,3816","0,811379","0,082544","0,106077","0","-0,0218071","-0,0123219","-0,0031071154487","F","0","F","0,811379","0","0,0218071","0,0123219","140","0,4842897355556488"
"As Kh Qd","4c5c","55,2364","1","0","0","0","-0,6004192","-0,4531155","0","F","0","F","1","0","0,6004192","0,4531155","140","0,4842897355556488"
"As Kh Qd","4c6c","4,19707","1","0","0","0","-0,8740517","-0,7440899","0","F","0","F","1","0","0,8740517","0,7440899","140","0,4842897355556488"
"As Kh Qd","4cAc","47,4033","0","1","0","0","1,76243","1,39306","1,76243","C","1,76243","C","1","1,76243","0","0,36937","140","0,4842897355556488"
"As Kh Qd","4d4h","40,2502","0,571203","0,428797","0","0","0,0189835","-0,0112156","0,0081400678495","C","0,0189835","F","0,571203","0,0189835","0","0,0301991","140","0,4842897355556488"
"As Kh Qd","4d4s","40,4103","0,512639","0,411862","0,075499","0","0,0248306","0,0156452","0,011407977532","C","0,0248306","F","0,512639","0,0248306","0","0,0091854","140","0,4842897355556488"
"As Kh Qd","4d5d","55,3181","1","0","0","0","-0,2218822","-0,0448696","0","F","0","F","1","0","0,2218822","0,0448696","140","0,4842897355556488"
"As Kh Qd","4d6d","4,20406","1","0","0","0","-0,5558926","-0,3223595","0","F","0","F","1","0","0,5558926","0,3223595","140","0,4842897355556488"
"As Kh Qd","4dAd","47,9484","0","1","0","0","2,25764","2,16814","2,25764","C","2,25764","C","1","2,25764","0","0,0894999999999997","140","0,4842897355556488"
"As Kh Qd","4h4s","40,4048","0,524068","0,385411","0,090521","0","0,0212399","0,0144531","0,009494400164","C","0,0212399","F","0,524068","0,0212399","0","0,0067868","140","0,4842897355556488"
"As Kh Qd","4h5h","55,4313","0,999893","0","0,000107","0","-0,1910854","-0,0253567","-2,7131669E-06","F","0","F","0,999893","0","0,1910854","0,0253567","140","0,4842897355556488"
"As Kh Qd","4h6h","4,21182","1","0","0","0","-0,5220127","-0,3013103","0","F","0","F","1","0","0,5220127","0,3013103","140","0,4842897355556488"
"As Kh Qd","4hAh","47,9535","0","1","0","0","2,28295","2,16413","2,28295","C","2,28295","C","1","2,28295","0","0,11882","140","0,4842897355556488"
"As Kh Qd","4s5s","55,8343","0,703083","0","0,296917","0","-0,0563869","-0,0022358","-0,0006638470286","F","0","F","0,703083","0","0,0563869","0,0022358","140","0,4842897355556488"
"As Kh Qd","4s6s","4,2434","1","0","0","0","-0,4012196","-0,2607544","0","F","0","F","1","0","0,4012196","0,2607544","140","0,4842897355556488"
"As Kh Qd","5c5d","46,9078","0,999184","0,000816","0","0","-0,0063625","-0,0646633","-5,1918E-06","F","0","F","0,999184","0","0,0063625","0,0646633","140","0,4842897355556488"
"As Kh Qd","5c5h","47,0005","0,991713","0,008288","0","0","-0,0060757","-0,0482559","-5,03554016E-05","F","0","F","0,991713","0","0,0060757","0,0482559","140","0,4842897355556488"
"As Kh Qd","5c5s","47,1256","0,999946","5,4E-05","0","0","-0,0134182","-0,0258884","-7,245828E-07","F","0","F","0,999946","0","0,0134182","0,0258884","140","0,4842897355556488"
"As Kh Qd","5c6c","37,041","1","0","0","0","-0,8654865","-0,7723755","0","F","0","F","1","0","0,8654865","0,7723755","140","0,4842897355556488"
"As Kh Qd","5c7c","4,45808","1","0","0","0","-0,8715199","-0,8386658","0","F","0","F","1","0","0,8715199","0,8386658","140","0,4842897355556488"
"As Kh Qd","5cAc","53,1997","0","1","0","0","1,76006","1,37659","1,76006","C","1,76006","C","1","1,76006","0","0,38347","140","0,4842897355556488"
"As Kh Qd","5d5h","47,0212","0,658805","0,341195","0","0","0,0158463","-0,0236134","0,0054066783285","C","0,0158463","F","0,658805","0,0158463","0","0,0394597","140","0,4842897355556488"
"As Kh Qd","5d5s","47,145","0,693524","0,306329","0,000147","0","0,0118153","-0,001527","0,0036191445647","C","0,0118153","F","0,693524","0,0118153","0","0,0133423","140","0,4842897355556488"
"As Kh Qd","5d6d","37,0942","1","0","0","0","-0,5672302","-0,3529011","0","F","0","F","1","0","0,5672302","0,3529011","140","0,4842897355556488"
"As Kh Qd","5d7d","4,46313","1","0","0","0","-0,5857975","-0,4191021","0","F","0","F","1","0","0,5857975","0,4191021","140","0,4842897355556488"
"As Kh Qd","5dAd","53,8106","0","1","0","0","2,24993","2,15161","2,24993","C","2,24993","C","1","2,24993","0","0,0983199999999997","140","0,4842897355556488"
"As Kh Qd","5h5s","47,2365","0,651148","0,332043","0,016809","0","0,0164906","0,0144978","0,005719281816","C","0,0164906","F","0,651148","0,0164906","0","0,0019928","140","0,4842897355556488"
"As Kh Qd","5h6h","37,2421","1","0","0","0","-0,527557","-0,3137932","0","F","0","F","1","0","0,527557","0,3137932","140","0,4842897355556488"
"As Kh Qd","5h7h","4,47734","1","0","0","0","-0,5606319","-0,3866573","0","F","0","F","1","0","0,5606319","0,3866573","140","0,4842897355556488"
"As Kh Qd","5hAh","53,9221","0","1","0","0","2,28567","2,15939","2,28567","C","2,28567","C","1","2,28567","0","0,12628","140","0,4842897355556488"
"As Kh Qd","5s6s","37,4773","1","0","0","0","-0,4093925","-0,2862911","0","F","0","F","1","0","0,4093925","0,2862911","140","0,4842897355556488"
"As Kh Qd","5s7s","4,50907","1","0","0","0","-0,4081299","-0,3524178","0","F","0","F","1","0","0,4081299","0,3524178","140","0,4842897355556488"
"As Kh Qd","6c6d","70,3877","0,999807","0,000193","0","0","-0,0019627","-0,210154","-3,788011E-07","F","0","F","0,999807","0","0,0019627","0,210154","140","0,4842897355556488"
"As Kh Qd","6c6h","70,5275","0,983067","0,016933","0","0","0,0031586","-0,1914738","5,34845738E-05","C","0,0031586","F","0,983067","0,0031586","0","0,1946324","140","0,4842897355556488"
"As Kh Qd","6c6s","70,7849","0,980382","0,019618","0","0","0,0094334","-0,1587231","0,0001850644412","C","0,0094334","F","0,980382","0,0094334","0","0,1681565","140","0,4842897355556488"
"As Kh Qd","6c7c","39,7988","1","0","0","0","-0,8781994","-0,9380959","0","F","0","F","1","0","0,8781994","0,9380959","140","0,4842897355556488"
"As Kh Qd","6c8c","11,9436","1","0","0","0","-0,9203312","-0,9270145","0","F","0","F","1","0","0,9203312","0,9270145","140","0,4842897355556488"
"As Kh Qd","6cKc","7,09867","0","1","0","0","0,880931","0,682667","0,880931","C","0,880931","C","1","0,880931","0","0,198264","140","0,4842897355556488"
"As Kh Qd","6cAc","5,45097","0","1","0","0","1,89592","1,29648","1,89592","C","1,89592","C","1","1,89592","0","0,59944","140","0,4842897355556488"
"As Kh Qd","6d6h","70,5921","0,726705","0,273295","0","0","-0,0046429","-0,1632561","-0,0012688813555","F","0","F","0,726705","0","0,0046429","0,1632561","140","0,4842897355556488"
"As Kh Qd","6d6s","70,8597","0,757788","0,242212","0","0","0,0002514","-0,1293102","6,08920968E-05","C","0,0002514","F","0,757788","0,0002514","0","0,1295616","140","0,4842897355556488"
"As Kh Qd","6d7d","39,8588","1","0","0","0","-0,6343628","-0,5100372","0","F","0","F","1","0","0,6343628","0,5100372","140","0,4842897355556488"
"As Kh Qd","6d8d","11,9624","1","0","0","0","-0,6577854","-0,4988712","0","F","0","F","1","0","0,6577854","0,4988712","140","0,4842897355556488"
"As Kh Qd","6dKd","7,09508","0","1","0","0","1,30583","1,25033","1,30583","C","1,30583","C","1","1,30583","0","0,0554999999999999","140","0,4842897355556488"
"As Kh Qd","6dAd","5,51394","0","1","0","0","2,37502","2,08007","2,37502","C","2,37502","C","1","2,37502","0","0,29495","140","0,4842897355556488"
"As Kh Qd","6h6s","70,9958","0,735718","0,264282","0","0","0,0064598","-0,1113686","0,0017072088636","C","0,0064598","F","0,735718","0,0064598","0","0,1178284","140","0,4842897355556488"
"As Kh Qd","6h7h","39,9867","1","0","0","0","-0,5944489","-0,4756355","0","F","0","F","1","0","0,5944489","0,4756355","140","0,4842897355556488"
"As Kh Qd","6h8h","12,0397","1","0","0","0","-0,6085472","-0,4351662","0","F","0","F","1","0","0,6085472","0,4351662","140","0,4842897355556488"
"As Kh Qd","6hAh","5,52569","0","1","0","0","2,43547","2,0886","2,43547","C","2,43547","C","1","2,43547","0","0,34687","140","0,4842897355556488"
"As Kh Qd","6s7s","40,3192","1","0","0","0","-0,4458576","-0,4183979","0","F","0","F","1","0","0,4458576","0,4183979","140","0,4842897355556488"
"As Kh Qd","6s8s","12,1039","1","0","0","0","-0,4709854","-0,4042873","0","F","0","F","1","0","0,4709854","0,4042873","140","0,4842897355556488"
"As Kh Qd","6sKs","7,1329","0","1","0","0","1,60728","1,5377","1,60728","C","1,60728","C","1","1,60728","0","0,06958","140","0,4842897355556488"
"As Kh Qd","7c7d","90,8256","0,999259","0,000741","0","0","-2,44E-05","-0,3170036","-1,80804E-08","F","0","F","0,999259","0","2,44E-05","0,3170036","140","0,4842897355556488"
"As Kh Qd","7c7h","90,9235","0,999992","8E-06","0","0","-0,0029045","-0,3083179","-2,3236E-08","F","0","F","0,999992","0","0,0029045","0,3083179","140","0,4842897355556488"
"As Kh Qd","7c7s","91,3347","0,937984","0,062016","0","0","0,0167576","-0,2659451","0,0010392393216","C","0,0167576","F","0,937984","0,0167576","0","0,2827027","140","0,4842897355556488"
"As Kh Qd","7c8c","35,4735","1","0","0","0","-0,9273598","-0,9954742","0","F","0","F","1","0","0,9273598","0,9954742","140","0,4842897355556488"
"As Kh Qd","7c9c","4,90148","1","0","0","0","-0,9558411","-0,9610264","0","F","0","F","1","0","0,9558411","0,9610264","140","0,4842897355556488"
"As Kh Qd","7cAc","10,8124","0","1","0","0","1,93312","1,23575","1,93312","C","1,93312","C","1","1,93312","0","0,69737","140","0,4842897355556488"
"As Kh Qd","7d7h","91,0226","0,850712","0,149288","0","0","-0,0158325","-0,2763714","-0,00236360226","F","0","F","0,850712","0","0,0158325","0,2763714","140","0,4842897355556488"
"As Kh Qd","7d7s","91,4232","0,788944","0,211056","0","0","0,0003727","-0,2351715","7,86605712E-05","C","0,0003727","F","0,788944","0,0003727","0","0,2355442","140","0,4842897355556488"
"As Kh Qd","7d8d","35,5186","1","0","0","0","-0,6813431","-0,5670799","0","F","0","F","1","0","0,6813431","0,5670799","140","0,4842897355556488"
"As Kh Qd","7d9d","4,9068","1","0","0","0","-0,6563217","-0,5371178","0","F","0","F","1","0","0,6563217","0,5371178","140","0,4842897355556488"
"As Kh Qd","7dAd","10,931","0","1","0","0","2,40449","2,02289","2,40449","C","2,40449","C","1","2,40449","0","0,3816","140","0,4842897355556488"
"As Kh Qd","7h7s","91,5269","0,804586","0,195414","0","0","-0,0007298","-0,2262524","-0,0001426131372","F","0","F","0,804586","0","0,0007298","0,2262524","140","0,4842897355556488"
"As Kh Qd","7h8h","35,7197","1","0","0","0","-0,6455471","-0,510006","0","F","0","F","1","0","0,6455471","0,510006","140","0,4842897355556488"
"As Kh Qd","7h9h","4,91872","1","0","0","0","-0,6260918","-0,5034252","0","F","0","F","1","0","0,6260918","0,5034252","140","0,4842897355556488"
"As Kh Qd","7hAh","10,9466","0","1","0","0","2,43887","2,02627","2,43887","C","2,43887","C","1","2,43887","0","0,4126","140","0,4842897355556488"
"As Kh Qd","7s8s","35,9397","1","0","0","0","-0,477372","-0,4717224","0","F","0","F","1","0","0,477372","0,4717224","140","0,4842897355556488"
"As Kh Qd","7s9s","4,94443","1","0","0","0","-0,4862869","-0,4701973","0","F","0","F","1","0","0,4862869","0,4701973","140","0,4842897355556488"
"As Kh Qd","8c8d","97,3418","0,999995","5E-06","0","0","-0,0055065","-0,3079994","-2,75325E-08","F","0","F","0,999995","0","0,0055065","0,3079994","140","0,4842897355556488"
"As Kh Qd","8c8h","97,7671","0,99999","1E-05","0","0","-0,0041149","-0,2680031","-4,1149E-08","F","0","F","0,99999","0","0,0041149","0,2680031","140","0,4842897355556488"
"As Kh Qd","8c8s","97,9242","0,999809","0,000191","0","0","-0,0009033","-0,2522602","-1,725303E-07","F","0","F","0,999809","0","0,0009033","0,2522602","140","0,4842897355556488"
"As Kh Qd","8c9c","33,0488","1","0","0","0","-0,996595","-0,9499062","0","F","0","F","1","0","0,996595","0,9499062","140","0,4842897355556488"
"As Kh Qd","8cTc","8,95171","0,117773","0,877918","0,004309","0","0,118699","-0,0122532","0,1041551896432","C","0,118699","C","0,877918","0,118699","0","0,1309522","140","0,4842897355556488"
"As Kh Qd","8cAc","27,432","0","1","0","0","1,87179","1,24968","1,87179","C","1,87179","C","1","1,87179","0","0,62211","140","0,4842897355556488"
"As Kh Qd","8d8h","97,8573","0,903306","0,096694","0","0","-0,0084499","-0,2394115","-0,0008170546306","F","0","F","0,903306","0","0,0084499","0,2394115","140","0,4842897355556488"
"As Kh Qd","8d8s","98,0214","0,900897","0,099103","0","0","0,0031605","-0,2233421","0,0003132150315","C","0,0031605","F","0,900897","0,0031605","0","0,2265026","140","0,4842897355556488"
"As Kh Qd","8d9d","33,087","1","0","0","0","-0,6759872","-0,52584","0","F","0","F","1","0","0,6759872","0,52584","140","0,4842897355556488"
"As Kh Qd","8dTd","8,97602","0","1","0","0","0,430596","0,383339","0,430596","C","0,430596","C","1","0,430596","0","0,047257","140","0,4842897355556488"
"As Kh Qd","8dAd","27,7266","0","1","0","0","2,35114","2,03409","2,35114","C","2,35114","C","1","2,35114","0","0,31705","140","0,4842897355556488"
"As Kh Qd","8h8s","98,4467","0,844988","0,155012","0","0","0,0024944","-0,1837986","0,0003866619328","C","0,0024944","F","0,844988","0,0024944","0","0,186293","140","0,4842897355556488"
"As Kh Qd","8h9h","33,2755","1","0","0","0","-0,6364407","-0,4626308","0","F","0","F","1","0","0,6364407","0,4626308","140","0,4842897355556488"
"As Kh Qd","8hTh","8,99357","0","0,999873","0,000127","0","0,455794","0,437916","0,455791729494","C","0,455794","C","0,999873","0,455794","0","0,0178780000000001","140","0,4842897355556488"
"As Kh Qd","8hAh","27,865","0","1","0","0","2,39155","2,06112","2,39155","C","2,39155","C","1","2,39155","0","0,33043","140","0,4842897355556488"
"As Kh Qd","8s9s","33,3531","1","0","0","0","-0,5114655","-0,4548561","0","F","0","F","1","0","0,5114655","0,4548561","140","0,4842897355556488"
"As Kh Qd","8sTs","8,97041","0","1","0","0","0,561618","0,502984","0,561618","C","0,561618","C","1","0,561618","0","0,058634","140","0,4842897355556488"
"As Kh Qd","9c9d","100,613","1","0","0","0","-0,059655","-0,2927666","0","F","0","F","1","0","0,059655","0,2927666","140","0,4842897355556488"
"As Kh Qd","9c9h","100,728","1","0","0","0","-0,0579803","-0,2796143","0","F","0","F","1","0","0,0579803","0,2796143","140","0,4842897355556488"
"As Kh Qd","9c9s","100,786","1","0","0","0","-0,0602535","-0,2704586","0","F","0","F","1","0","0,0602535","0,2704586","140","0,4842897355556488"
"As Kh Qd","9cTc","55,9489","0,197664","0,472291","0,330045","0","0,0943502","0,0740431","0,0689983052477","C","0,0943502","C","0,472291","0,0943502","0","0,0203071","140","0,4842897355556488"
"As Kh Qd","9cJc","12,111","0,002407","0,055806","0,941787","0","0,236928","0,323282","0,317684788902","R","0,323282","R","0,941787","0,323282","0,086354","0","140","0,4842897355556488"
"As Kh Qd","9cKc","28,9758","0","1","0","0","0,799762","0,681059","0,799762","C","0,799762","C","1","0,799762","0","0,118703","140","0,4842897355556488"
"As Kh Qd","9cAc","51,3793","0","1","0","0","1,88924","1,28568","1,88924","C","1,88924","C","1","1,88924","0","0,60356","140","0,4842897355556488"
"As Kh Qd","9d9h","100,906","0,923668","0,076332","0","0","0,0047268","-0,2426182","0,0003608060976","C","0,0047268","F","0,923668","0,0047268","0","0,247345","140","0,4842897355556488"
"As Kh Qd","9d9s","100,978","0,938354","0,061646","0","0","0,006459","-0,2322315","0,000398171514","C","0,006459","F","0,938354","0,006459","0","0,2386905","140","0,4842897355556488"
"As Kh Qd","9dTd","56,1464","0","0,639175","0,360825","0","0,438101","0,471548","0,450169513775","R","0,471548","C","0,639175","0,471548","0,0334470000000001","0","140","0,4842897355556488"
"As Kh Qd","9dJd","12,1288","0","0,716781","0,283219","0","0,739994","0,817866","0,762048829968","R","0,817866","C","0,716781","0,817866","0,0778720000000001","0","140","0,4842897355556488"
"As Kh Qd","9dKd","28,9592","0","0,852228","0,147772","0","1,22356","1,23865","1,22578987948","R","1,23865","C","0,852228","1,23865","0,01509","0","140","0,4842897355556488"
"As Kh Qd","9dAd","51,8962","0","1","0","0","2,37829","2,05694","2,37829","C","2,37829","C","1","2,37829","0","0,32135","140","0,4842897355556488"
"As Kh Qd","9h9s","101,095","0,950185","0,049815","0","0","0,0066345","-0,2189972","0,0003304976175","C","0,0066345","F","0,950185","0,0066345","0","0,2256317","140","0,4842897355556488"
"As Kh Qd","9hTh","56,0678","0","0,672497","0,327503","0","0,466699","0,497515","0,476791332448","R","0,497515","C","0,672497","0,497515","0,030816","0","140","0,4842897355556488"
"As Kh Qd","9hJh","12,0983","0","0,49955","0,50045","0","0,709865","0,804355","0,7571525205","R","0,804355","R","0,50045","0,804355","0,09449","0","140","0,4842897355556488"
"As Kh Qd","9hAh","51,982","0","1","0","0","2,41177","2,05619","2,41177","C","2,41177","C","1","2,41177","0","0,35558","140","0,4842897355556488"
"As Kh Qd","9sTs","55,8734","0","0,869742","0,130258","0","0,539841","0,553602","0,541633480338","R","0,553602","C","0,869742","0,553602","0,0137609999999999","0","140","0,4842897355556488"
"As Kh Qd","9sJs","12,1175","0","0,708928","0,291072","0","0,782731","0,824571","0,79490945248","R","0,824571","C","0,708928","0,824571","0,0418400000000001","0","140","0,4842897355556488"
"As Kh Qd","9sKs","28,9974","0","0,891067","0,108933","0","1,48022","1,49671","1,48201630517","R","1,49671","C","0,891067","1,49671","0,0164900000000001","0","140","0,4842897355556488"
"As Kh Qd","TcTd","82,2147","0","0,84241","0,15759","0","0,537666","0,538899","0,53786030847","R","0,538899","C","0,84241","0,538899","0,00123300000000004","0","140","0,4842897355556488"
"As Kh Qd","TcTh","81,9926","0","0,812796","0,187204","0","0,54408","0,541075","0,54351745198","C","0,54408","C","0,812796","0,54408","0","0,00300500000000004","140","0,4842897355556488"
"As Kh Qd","TcTs","81,6342","0","0,777967","0,222033","0","0,544925","0,561039","0,548502839762","R","0,561039","C","0,777967","0,561039","0,016114","0","140","0,4842897355556488"
"As Kh Qd","TcJc","66,3645","0","0,32927","0,67073","0","18,8368","18,8597","18,852159717","R","18,8597","R","0,67073","18,8597","0,0228999999999999","0","140","0,4842897355556488"
"As Kh Qd","TcQc","43,2183","0","0,999983","1,7E-05","0","1,34812","1,28527","1,34811893155","C","1,34812","C","0,999983","1,34812","0","0,0628499999999999","140","0,4842897355556488"
"As Kh Qd","TcKc","70,0151","0","0,979456","0,020544","0","1,84552","1,84734","1,84555739008","R","1,84734","C","0,979456","1,84734","0,00182000000000015","0","140","0,4842897355556488"
"As Kh Qd","TcAc","78,3691","0","1","0","0","3,14199","2,87103","3,14199","C","3,14199","C","1","3,14199","0","0,27096","140","0,4842897355556488"
"As Kh Qd","TdTh","82,207","0","0,761528","0,238472","0","0,565817","0,557918","0,563933309672","C","0,565817","C","0,761528","0,565817","0","0,00789899999999999","140","0,4842897355556488"
"As Kh Qd","TdTs","81,8188","0","0,718807","0,281193","0","0,565619","0,570045","0,566863560218","R","0,570045","C","0,718807","0,570045","0,00442600000000004","0","140","0,4842897355556488"
"As Kh Qd","TdJd","66,5042","0","0,317471","0,682529","0","19,0407","19,0771","19,0655440556","R","19,0771","R","0,682529","19,0771","0,0363999999999969","0","140","0,4842897355556488"
"As Kh Qd","TdKd","70,0081","0","0,88842","0,11158","0","2,30963","2,30764","2,3094079558","C","2,30963","C","0,88842","2,30963","0","0,00198999999999971","140","0,4842897355556488"
"As Kh Qd","TdAd","79,5343","0","0,985979","0,014021","0","3,69408","3,69379","3,69407593391","C","3,69408","C","0,985979","3,69408","0","0,000290000000000568","140","0,4842897355556488"
"As Kh Qd","ThTs","81,6132","0","0,68593","0,31407","0","0,574096","0,584365","0,57732118483","R","0,584365","C","0,68593","0,584365","0,010269","0","140","0,4842897355556488"
"As Kh Qd","ThJh","66,1223","0","0,286147","0,713853","0","19,055","19,0877","19,0783429931","R","19,0877","R","0,713853","19,0877","0,0327000000000019","0","140","0,4842897355556488"
"As Kh Qd","ThQh","43,0488","0","0,84486","0,15514","0","1,91456","1,92339","1,9159298862","R","1,92339","C","0,84486","1,92339","0,00882999999999967","0","140","0,4842897355556488"
"As Kh Qd","ThAh","79,3446","0","0,995753","0,004247","0","3,73471","3,7338","3,73470613523","C","3,73471","C","0,995753","3,73471","0","0,000909999999999744","140","0,4842897355556488"
"As Kh Qd","TsJs","65,8773","0","0,318401","0,681599","0","19,0655","19,0764","19,0729294291","R","19,0764","R","0,681599","19,0764","0,0108999999999995","0","140","0,4842897355556488"
"As Kh Qd","TsQs","42,8206","0","0,909516","0,090484","0","2,0029","2,00733","2,00330084412","R","2,00733","C","0,909516","2,00733","0,00443000000000016","0","140","0,4842897355556488"
"As Kh Qd","TsKs","69,481","0","0,900183","0,099817","0","2,53134","2,52998","2,53120424888","C","2,53134","C","0,900183","2,53134","0","0,00136000000000003","140","0,4842897355556488"
"As Kh Qd","JcJd","65,6772","0","0,844048","0,155952","0","0,834459","0,821709","0,832470612","C","0,834459","C","0,844048","0,834459","0","0,01275","140","0,4842897355556488"
"As Kh Qd","JcJh","65,4248","0","0,898611","0,101389","0","0,845472","0,852696","0,846204434136","R","0,852696","C","0,898611","0,852696","0,00722400000000012","0","140","0,4842897355556488"
"As Kh Qd","JcJs","65,4846","0","0,91813","0,08187","0","0,832741","0,823873","0,83201497684","C","0,832741","C","0,91813","0,832741","0","0,00886799999999999","140","0,4842897355556488"
"As Kh Qd","JcQc","47,8228","0","0,92675","0,07325","0","1,43589","1,43527","1,435844585","C","1,43589","C","0,92675","1,43589","0","0,000620000000000065","140","0,4842897355556488"
"As Kh Qd","JcKc","77,2026","0","0,96356","0,03644","0","2,06637","2,06225","2,0662198672","C","2,06637","C","0,96356","2,06637","0","0,00412000000000035","140","0,4842897355556488"
"As Kh Qd","JcAc","76,2909","0","0,95815","0,04185","0","3,42271","3,42889","3,422968633","R","3,42889","C","0,95815","3,42889","0,00618000000000007","0","140","0,4842897355556488"
"As Kh Qd","JcAd","18,646","0","1","0","0","3,59259","3,29816","3,59259","C","3,59259","C","1","3,59259","0","0,29443","140","0,4842897355556488"
"As Kh Qd","JcAh","18,6505","0","1","0","0","3,61704","3,3557","3,61704","C","3,61704","C","1","3,61704","0","0,26134","140","0,4842897355556488"
"As Kh Qd","JdJh","65,4304","0","0,727784","0,272216","0","0,869116","0,877505","0,871399620024","R","0,877505","C","0,727784","0,877505","0,00838899999999998","0","140","0,4842897355556488"
"As Kh Qd","JdJs","65,4663","0","0,698061","0,301939","0","0,857689","0,855703","0,857089349146","C","0,857689","C","0,698061","0,857689","0","0,00198600000000015","140","0,4842897355556488"
