"board","combo","reach_probability","check_frequency","bet_frequency","ev_check_btn","ev_bet_btn","mixed_ev_btn","best_ev_action","best_ev_btn","highest_frequency_action","highest_frequency","loss_if_check_btn","loss_if_bet_btn","iteration","exploitability"
"As Kh Qd","4hAh","31,6583","0,717388","0,282612","3,86749","3,88522","3,87250071076","B","3,88522","X","0,717388","0,0177300000000002","0","140","0,4842897355556488"
"As Kh Qd","4s5s","36,1642","0,458768","0,541232","0,697698","0,722569","0,711158981072","B","0,722569","B","0,541232","0,024871","0","140","0,4842897355556488"
"As Kh Qd","4s6s","2,76054","0,999913","8,7E-05","0,506958","0,483493","0,506955958545","X","0,506958","X","0,999913","0","0,023465","140","0,4842897355556488"
"As Kh Qd","5c5d","29,9154","0,985523","0,014477","0,70564","0,700295","0,705562620435","X","0,70564","X","0,985523","0","0,00534500000000004","140","0,4842897355556488"
"As Kh Qd","5c5h","30,0387","0,912615","0,087385","0,704984","0,695013","0,704112684165","X","0,704984","X","0,912615","0","0,00997099999999995","140","0,4842897355556488"
"As Kh Qd","5c5s","30,1515","0,783975","0,216025","0,707272","0,701815","0,706093151575","X","0,707272","X","0,783975","0","0,00545699999999993","140","0,4842897355556488"
"As Kh Qd","5c6c","23,9575","1","0","0,13291","-0,0398552","0,13291","X","0,13291","X","1","0","0,1727652","140","0,4842897355556488"
"As Kh Qd","5c7c","2,88693","1","0","0,135267","-0,0801987","0,135267","X","0,135267","X","1","0","0,2154657","140","0,4842897355556488"
"As Kh Qd","5cAc","35,8318","0,760123","0,239877","3,44043","3,45765","3,44456068194","B","3,45765","X","0,760123","0,01722","0","140","0,4842897355556488"
"As Kh Qd","5d5h","30,0181","0,660695","0,339305","0,732827","0,737975","0,73457374214","B","0,737975","X","0,660695","0,00514799999999993","0","140","0,4842897355556488"
"As Kh Qd","5d5s","30,1322","0,608428","0,391572","0,736859","0,748117","0,741267317576","B","0,748117","X","0,608428","0,0112579999999999","0","140","0,4842897355556488"
"As Kh Qd","5d6d","23,9044","1","0","0,427412","0,398684","0,427412","X","0,427412","X","1","0","0,028728","140","0,4842897355556488"
"As Kh Qd","5d7d","2,88188","1","0","0,432625","0,358486","0,432625","X","0,432625","X","1","0","0,074139","140","0,4842897355556488"
"As Kh Qd","5dAd","35,2208","0,663265","0,336735","3,86833","3,89417","3,8770312324","B","3,89417","X","0,663265","0,0258399999999996","0","140","0,4842897355556488"
"As Kh Qd","5h5s","30,2568","0,589858","0,410142","0,741524","0,747061","0,743794956254","B","0,747061","X","0,589858","0,00553700000000001","0","140","0,4842897355556488"
"As Kh Qd","5h6h","24,078","1","0","0,434939","0,397305","0,434939","X","0,434939","X","1","0","0,0376339999999999","140","0,4842897355556488"
"As Kh Qd","5h7h","2,89943","1","0","0,440119","0,359996","0,440119","X","0,440119","X","1","0","0,080123","140","0,4842897355556488"
"As Kh Qd","5hAh","35,394","0,673381","0,326619","3,85596","3,88505","3,86546134671","B","3,88505","X","0,673381","0,0290899999999992","0","140","0,4842897355556488"
"As Kh Qd","5s6s","24,2472","1","0","0,485973","0,459085","0,485973","X","0,485973","X","1","0","0,026888","140","0,4842897355556488"
"As Kh Qd","5s7s","2,92394","1","0","0,489638","0,418322","0,489638","X","0,489638","X","1","0","0,0713159999999999","140","0,4842897355556488"
"As Kh Qd","6c6d","45,4999","0,962764","0,037236","0,685827","0,68865","0,685932117228","B","0,68865","X","0,962764","0,00282300000000002","0","140","0,4842897355556488"
"As Kh Qd","6c6h","45,6442","0,966973","0,033027","0,685242","0,687935","0,685330941711","B","0,687935","X","0,966973","0,00269299999999995","0","140","0,4842897355556488"
"As Kh Qd","6c6s","45,7957","0,932389","0,067611","0,684689","0,691376","0,685141114757","B","0,691376","X","0,932389","0,006687","0","140","0,4842897355556488"
"As Kh Qd","6c7c","26,1032","1","0","0,135542","-0,061639","0,135542","X","0,135542","X","1","0","0,197181","140","0,4842897355556488"
"As Kh Qd","6c8c","7,71927","1","0","0,135679","-0,1363979","0,135679","X","0,135679","X","1","0","0,2720769","140","0,4842897355556488"
"As Kh Qd","6cKc","4,75178","1","0","2,51949","2,17323","2,51949","X","2,51949","X","1","0","0,34626","140","0,4842897355556488"
"As Kh Qd","6cAc","3,70519","0,798904","0,201096","3,49112","3,50385","3,49367995208","B","3,50385","X","0,798904","0,0127299999999999","0","140","0,4842897355556488"
"As Kh Qd","6d6h","45,5797","0,813847","0,186153","0,706058","0,717434","0,708175676528","B","0,717434","X","0,813847","0,0113760000000001","0","140","0,4842897355556488"
"As Kh Qd","6d6s","45,7209","0,789787","0,210213","0,706091","0,719231","0,70885319882","B","0,719231","X","0,789787","0,0131399999999999","0","140","0,4842897355556488"
"As Kh Qd","6d7d","26,0432","1","0","0,428812","0,38304","0,428812","X","0,428812","X","1","0","0,045772","140","0,4842897355556488"
"As Kh Qd","6d8d","7,70046","1","0","0,4346","0,35075","0,4346","X","0,4346","X","1","0","0,08385","140","0,4842897355556488"
"As Kh Qd","6dKd","4,75538","1","0","2,87287","2,67235","2,87287","X","2,87287","X","1","0","0,20052","140","0,4842897355556488"
"As Kh Qd","6dAd","3,64222","0,707049","0,292951","3,92829","3,945","3,93318521121","B","3,945","X","0,707049","0,0167100000000007","0","140","0,4842897355556488"
"As Kh Qd","6h6s","45,869","0,809322","0,190678","0,709035","0,717623","0,710672542664","B","0,717623","X","0,809322","0,00858800000000004","0","140","0,4842897355556488"
"As Kh Qd","6h7h","26,1758","1","0","0,437586","0,37921","0,437586","X","0,437586","X","1","0","0,058376","140","0,4842897355556488"
"As Kh Qd","6h8h","7,7781","1","0","0,440291","0,331554","0,440291","X","0,440291","X","1","0","0,108737","140","0,4842897355556488"
"As Kh Qd","6hAh","3,65589","0,740734","0,259266","3,91207","3,92534","3,91551045982","B","3,92534","X","0,740734","0,0132699999999999","0","140","0,4842897355556488"
"As Kh Qd","6s7s","26,3768","1","0","0,483533","0,430465","0,483533","X","0,483533","X","1","0","0,053068","140","0,4842897355556488"
"As Kh Qd","6s8s","7,79692","1","0","0,484418","0,396392","0,484418","X","0,484418","X","1","0","0,088026","140","0,4842897355556488"
"As Kh Qd","6sKs","4,79455","1","0","2,98793","2,8144","2,98793","X","2,98793","X","1","0","0,17353","140","0,4842897355556488"
"As Kh Qd","7c7d","59,2958","0,97309","0,02691","0,668227","0,667685","0,66821241478","X","0,668227","X","0,97309","0","0,000542000000000042","140","0,4842897355556488"
"As Kh Qd","7c7h","59,4205","0,976611","0,023389","0,668003","0,670255","0,668055672028","B","0,670255","X","0,976611","0,00225199999999992","0","140","0,4842897355556488"
"As Kh Qd","7c7s","59,6917","0,956497","0,043503","0,668671","0,674323","0,668916878956","B","0,674323","X","0,956497","0,00565199999999999","0","140","0,4842897355556488"
"As Kh Qd","7c8c","23,1219","1","0","0,134268","-0,1298389","0,134268","X","0,134268","X","1","0","0,2641069","140","0,4842897355556488"
"As Kh Qd","7c9c","3,05582","1","0","0,146395","-0,3877518","0,146395","X","0,146395","X","1","0","0,5341468","140","0,4842897355556488"
"As Kh Qd","7cAc","7,3945","0,78189","0,21811","3,50339","3,51866","3,5067205397","B","3,51866","X","0,78189","0,0152699999999992","0","140","0,4842897355556488"
"As Kh Qd","7d7h","59,3215","0,854945","0,145055","0,685486","0,692692","0,68653126633","B","0,692692","X","0,854945","0,00720599999999993","0","140","0,4842897355556488"
"As Kh Qd","7d7s","59,6032","0,850517","0,149483","0,684836","0,694878","0,686337108286","B","0,694878","X","0,850517","0,010042","0","140","0,4842897355556488"
"As Kh Qd","7d8d","23,0769","1","0","0,435645","0,353915","0,435645","X","0,435645","X","1","0","0,08173","140","0,4842897355556488"
"As Kh Qd","7d9d","3,0995","1","0","0,44693","0,187964","0,44693","X","0,44693","X","1","0","0,258966","140","0,4842897355556488"
"As Kh Qd","7dAd","7,27595","0,702037","0,297963","3,93747","3,95463","3,94258304508","B","3,95463","X","0,702037","0,0171600000000005","0","140","0,4842897355556488"
"As Kh Qd","7h7s","59,7221","0,891687","0,108313","0,686937","0,696815","0,688006915814","B","0,696815","X","0,891687","0,00987799999999994","0","140","0,4842897355556488"
"As Kh Qd","7h8h","23,2809","1","0","0,443198","0,337425","0,443198","X","0,443198","X","1","0","0,105773","140","0,4842897355556488"
"As Kh Qd","7h9h","3,09964","1","0","0,459615","0,208936","0,459615","X","0,459615","X","1","0","0,250679","140","0,4842897355556488"
"As Kh Qd","7hAh","7,2908","0,718407","0,281593","3,91357","3,93338","3,91914835733","B","3,93338","X","0,718407","0,0198099999999997","0","140","0,4842897355556488"
"As Kh Qd","7s8s","23,3678","1","0","0,482928","0,396735","0,482928","X","0,482928","X","1","0","0,086193","140","0,4842897355556488"
"As Kh Qd","7s9s","3,11088","1","0","0,510497","0,28007","0,510497","X","0,510497","X","1","0","0,230427","140","0,4842897355556488"
"As Kh Qd","8c8d","62,4308","1","0","0,657233","0,631959","0,657233","X","0,657233","X","1","0","0,025274","140","0,4842897355556488"
"As Kh Qd","8c8h","62,8698","1","0","0,657568","0,627282","0,657568","X","0,657568","X","1","0","0,030286","140","0,4842897355556488"
"As Kh Qd","8c8s","62,8174","1","0","0,655946","0,633027","0,655946","X","0,655946","X","1","0","0,0229189999999999","140","0,4842897355556488"
"As Kh Qd","8c9c","20,4159","1","0","0,133125","-0,4272015","0,133125","X","0,133125","X","1","0","0,5603265","140","0,4842897355556488"
"As Kh Qd","8cTc","5,79809","0,512494","0,487506","1,28883","1,33604","1,31184515826","B","1,33604","X","0,512494","0,0472100000000002","0","140","0,4842897355556488"
"As Kh Qd","8cAc","18,5163","0,645216","0,354784","3,49411","3,54469","3,51205497472","B","3,54469","X","0,645216","0,0505800000000001","0","140","0,4842897355556488"
"As Kh Qd","8d8h","62,7796","0,943991","0,056009","0,675242","0,683271","0,675691696261","B","0,683271","X","0,943991","0,00802899999999995","0","140","0,4842897355556488"
"As Kh Qd","8d8s","62,7202","0,876797","0,123202","0,673378","0,678998","0,674069721862","B","0,678998","X","0,876797","0,00561999999999996","0","140","0,4842897355556488"
"As Kh Qd","8d9d","20,7076","1","0","0,439813","0,197378","0,439813","X","0,439813","X","1","0","0,242435","140","0,4842897355556488"
"As Kh Qd","8dTd","5,86158","0,003589","0,996411","1,61835","1,68822","1,68796923657","B","1,68822","B","0,996411","0,0698700000000001","0","140","0,4842897355556488"
"As Kh Qd","8dAd","18,2217","0,593682","0,406318","3,9213","3,97549","3,94331837242","B","3,97549","X","0,593682","0,0541899999999997","0","140","0,4842897355556488"
"As Kh Qd","8h8s","63,1593","0,929232","0,070768","0,674295","0,672458","0,674164999184","X","0,674295","X","0,929232","0","0,00183700000000009","140","0,4842897355556488"
"As Kh Qd","8h9h","20,8134","1","0","0,447538","0,198842","0,447538","X","0,447538","X","1","0","0,248696","140","0,4842897355556488"
"As Kh Qd","8hTh","5,90298","0,002487","0,997513","1,62119","1,68686","1,68669667871","B","1,68686","B","0,997513","0,0656700000000001","0","140","0,4842897355556488"
"As Kh Qd","8hAh","18,3634","0,603701","0,396299","3,91289","3,96821","3,93481326068","B","3,96821","X","0,603701","0,05532","0","140","0,4842897355556488"
"As Kh Qd","8s9s","20,7715","1","0","0,499514","0,282992","0,499514","X","0,499514","X","1","0","0,216522","140","0,4842897355556488"
"As Kh Qd","8sTs","5,87239","0,002791","0,997209","1,69593","1,74221","1,74208083252","B","1,74221","B","0,997209","0,0462800000000001","0","140","0,4842897355556488"
"As Kh Qd","9c9d","61,2946","1","0","0,701007","0,366167","0,701007","X","0,701007","X","1","0","0,33484","140","0,4842897355556488"
"As Kh Qd","9c9h","61,1798","1","0","0,699546","0,379362","0,699546","X","0,699546","X","1","0","0,320184","140","0,4842897355556488"
"As Kh Qd","9c9s","61,1224","1","0","0,697196","0,390276","0,697196","X","0,697196","X","1","0","0,30692","140","0,4842897355556488"
"As Kh Qd","9cTc","34,5446","1","0","1,20169","1,14529","1,20169","X","1,20169","X","1","0","0,0564","140","0,4842897355556488"
"As Kh Qd","9cJc","7,42028","1","0","1,24365","1,21798","1,24365","X","1,24365","X","1","0","0,0256700000000001","140","0,4842897355556488"
"As Kh Qd","9cKc","18,4872","1","0","2,31413","2,05271","2,31413","X","2,31413","X","1","0","0,26142","140","0,4842897355556488"
"As Kh Qd","9cAc","33,0619","0,648058","0,351942","3,4795","3,49213","3,48394502746","B","3,49213","X","0,648058","0,0126300000000001","0","140","0,4842897355556488"
"As Kh Qd","9d9h","62,0024","1","0","0,720321","0,519907","0,720321","X","0,720321","X","1","0","0,200414","140","0,4842897355556488"
"As Kh Qd","9d9s","61,9301","1","0","0,71649","0,534554","0,71649","X","0,71649","X","1","0","0,181936","140","0,4842897355556488"
"As Kh Qd","9dTd","35,4649","0,4075","0,5925","1,54988","1,55437","1,552540325","B","1,55437","B","0,5925","0,00449000000000011","0","140","0,4842897355556488"
"As Kh Qd","9dJd","7,58441","0,061952","0,938048","1,65889","1,66094","1,6608129984","B","1,66094","B","0,938048","0,00205000000000011","0","140","0,4842897355556488"
"As Kh Qd","9dKd","18,8178","1","0","2,74601","2,63097","2,74601","X","2,74601","X","1","0","0,11504","140","0,4842897355556488"
"As Kh Qd","9dAd","33,13","0,597929","0,402071","3,95512","3,97391","3,96267491409","B","3,97391","X","0,597929","0,0187900000000001","0","140","0,4842897355556488"
"As Kh Qd","9h9s","61,813","1","0","0,715185","0,538737","0,715185","X","0,715185","X","1","0","0,176448","140","0,4842897355556488"
"As Kh Qd","9hTh","35,3952","0,433493","0,566507","1,54704","1,56339","1,55630238945","B","1,56339","B","0,566507","0,0163500000000001","0","140","0,4842897355556488"
"As Kh Qd","9hJh","7,559","0,187285","0,812715","1,64658","1,66393","1,66068060525","B","1,66393","B","0,812715","0,0173499999999998","0","140","0,4842897355556488"
"As Kh Qd","9hAh","33,0442","0,617535","0,382465","3,91875","3,94356","3,92823895665","B","3,94356","X","0,617535","0,02481","0","140","0,4842897355556488"
"As Kh Qd","9sTs","35,1951","0,407375","0,592625","1,61817","1,62092","1,61979971875","B","1,62092","B","0,592625","0,00275000000000003","0","140","0,4842897355556488"
"As Kh Qd","9sJs","7,53978","0,337444","0,662556","1,69639","1,71052","1,70575191628","B","1,71052","B","0,662556","0,0141300000000002","0","140","0,4842897355556488"
"As Kh Qd","9sKs","18,7796","1","0","2,83408","2,71728","2,83408","X","2,83408","X","1","0","0,1168","140","0,4842897355556488"
"As Kh Qd","TcTd","54,2553","0,666422","0,333578","1,9063","1,90438","1,90565953024","X","1,9063","X","0,666422","0","0,0019199999999997","140","0,4842897355556488"
"As Kh Qd","TcTh","54,2506","0,700814","0,299186","1,90481","1,90514","1,90490873138","B","1,90514","X","0,700814","0,000329999999999941","0","140","0,4842897355556488"
"As Kh Qd","TcTs","54,0061","0,681022","0,318978","1,90882","1,91097","1,9095058027","B","1,91097","X","0,681022","0,0021500000000001","0","140","0,4842897355556488"
"As Kh Qd","TcJc","42,7439","0,330756","0,669244","12,6845","12,6918","12,6893854812","B","12,6918","B","0,669244","0,00730000000000075","0","140","0,4842897355556488"
"As Kh Qd","TcQc","28,0641","0,749496","0,250504","2,7021","2,69628","2,70064206672","X","2,7021","X","0,749496","0","0,00581999999999994","140","0,4842897355556488"
"As Kh Qd","TcKc","46,9406","0,607833","0,392167","3,30822","3,34759","3,32365961479","B","3,34759","X","0,607833","0,0393700000000003","0","140","0,4842897355556488"
"As Kh Qd","TcAc","53,6499","0,426266","0,573734","4,68257","4,74552","4,7186865553","B","4,74552","B","0,573734","0,0629499999999998","0","140","0,4842897355556488"
"As Kh Qd","TdTh","54,866","0,694189","0,305811","1,91003","1,89755","1,90621347872","X","1,91003","X","0,694189","0","0,01248","140","0,4842897355556488"
"As Kh Qd","TdTs","54,6513","0,712449","0,287551","1,91133","1,90253","1,9087995512","X","1,91133","X","0,712449","0","0,00879999999999992","140","0,4842897355556488"
"As Kh Qd","TdJd","43,598","0,292756","0,707244","12,8508","12,8533","12,85256811","B","12,8533","B","0,707244","0,00249999999999773","0","140","0,4842897355556488"
"As Kh Qd","TdKd","47,6942","0,608714","0,391286","3,68367","3,72904","3,70142264582","B","3,72904","X","0,608714","0,0453699999999997","0","140","0,4842897355556488"
"As Kh Qd","TdAd","53,3683","0,376319","0,623681","5,05696","5,09268","5,07923788532","B","5,09268","B","0,623681","0,0357199999999995","0","140","0,4842897355556488"
"As Kh Qd","ThTs","54,63","0,739055","0,260945","1,91005","1,90315","1,9082494795","X","1,91005","X","0,739055","0","0,00689999999999991","140","0,4842897355556488"
"As Kh Qd","ThJh","43,4773","0,314852","0,685148","12,8032","12,8039","12,8036796036","B","12,8039","B","0,685148","0,000699999999998369","0","140","0,4842897355556488"
"As Kh Qd","ThQh","28,5553","0,795833","0,204167","3,06798","3,07136","3,06867008446","B","3,07136","X","0,795833","0,00337999999999994","0","140","0,4842897355556488"
"As Kh Qd","ThAh","53,3165","0,36947","0,63053","5,01417","5,05322","5,0387921965","B","5,05322","B","0,63053","0,0390500000000005","0","140","0,4842897355556488"
"As Kh Qd","TsJs","43,2311","0,32675","0,67325","12,7775","12,7804","12,779452425","B","12,7804","B","0,67325","0,00290000000000035","0","140","0,4842897355556488"
"As Kh Qd","TsQs","28,4617","0,648771","0,351229","3,11076","3,11302","3,11155377754","B","3,11302","X","0,648771","0,00225999999999971","0","140","0,4842897355556488"
"As Kh Qd","TsKs","47,4747","0,511176","0,488824","3,79563","3,82978","3,8123233396","B","3,82978","X","0,511176","0,0341500000000003","0","140","0,4842897355556488"
"As Kh Qd","JcJd","42,3701","0,674383","0,325617","2,16677","2,16456","2,16605038643","X","2,16677","X","0,674383","0","0,00220999999999982","140","0,4842897355556488"
"As Kh Qd","JcJh","42,3045","0,692878","0,307122","2,16547","2,16615","2,16567884296","B","2,16615","X","0,692878","0,000680000000000014","0","140","0,4842897355556488"
"As Kh Qd","JcJs","42,2448","0,6846","0,315401","2,16722","2,16598","2,16683106998","X","2,16722","X","0,6846","0","0,00123999999999969","140","0,4842897355556488"
"As Kh Qd","JcQc","30,6596","0,812855","0,187145","2,78233","2,78194","2,78225701345","X","2,78233","X","0,812855","0","0,00038999999999989","140","0,4842897355556488"
"As Kh Qd","JcKc","51,0717","0,47276","0,52724","3,41503","3,47822","3,4483462956","B","3,47822","B","0,52724","0,0631900000000001","0","140","0,4842897355556488"
"As Kh Qd","JcAc","51,6995","0,557052","0,442948","5,01275","5,08753","5,04587365144","B","5,08753","X","0,557052","0,0747800000000005","0","140","0,4842897355556488"
"As Kh Qd","JcAd","12,2387","0,627121","0,372879","5,08317","5,13199","5,10137395278","B","5,13199","X","0,627121","0,0488200000000001","0","140","0,4842897355556488"
"As Kh Qd","JcAh","12,2342","0,617857","0,382143","5,07098","5,13243","5,09446268735","B","5,13243","X","0,617857","0,0614499999999998","0","140","0,4842897355556488"
"As Kh Qd","JdJh","42,6169","0,694424","0,305576","2,17349","2,16534","2,1709995556","X","2,17349","X","0,694424","0","0,0081500000000001","140","0,4842897355556488"
"As Kh Qd","JdJs","42,5809","0,661889","0,338111","2,17462","2,16789","2,17234451297","X","2,17462","X","0,661889","0","0,00673000000000012","140","0,4842897355556488"
"As Kh Qd","JdKd","51,5758","0,486418","0,513582","3,77433","3,81518","3,7953098247","B","3,81518","B","0,513582","0,0408500000000003","0","140","0,4842897355556488"
"As Kh Qd","JdAc","12,5682","0,568628","0,431372","5,06642","5,13928","5,09784976392","B","5,13928","X","0,568628","0,0728600000000004","0","140","0,4842897355556488"
"As Kh Qd","JdAd","51,0505","0,417945","0,582055","5,39158","5,4549","5,4284357226","B","5,4549","B","0,582055","0,0633200000000009","0","140","0,4842897355556488"
"As Kh Qd","JdAh","12,3271","0,624178","0,375822","5,11513","5,17699","5,13837834892","B","5,17699","X","0,624178","0,0618600000000002","0","140","0,4842897355556488"
"As Kh Qd","JhJs","42,5238","0,701224","0,298776","2,17227","2,17067","2,1717919584","X","2,17227","X","0,701224","0","0,00159999999999982","140","0,4842897355556488"
"As Kh Qd","JhQh","31,0046","0,745928","0,254072","3,14784","3,15297","3,14914338936","B","3,15297","X","0,745928","0,00512999999999986","0","140","0,4842897355556488"
"As Kh Qd","JhAc","12,5482","0,556635","0,443364","5,0394","5,10919","5,07033733416","B","5,10919","X","0,556635","0,0697900000000002","0","140","0,4842897355556488"
"As Kh Qd","JhAd","12,3121","0,617818","0,382182","5,10042","5,15201","5,12013676938","B","5,15201","X","0,617818","0,05159","0","140","0,4842897355556488"
"As Kh Qd","JhAh","50,8997","0,440023","0,559977","5,33704","5,38434","5,3635269121","B","5,38434","B","0,559977","0,0472999999999999","0","140","0,4842897355556488"
"As Kh Qd","JsQs","31,0326","0,642137","0,357863","3,18521","3,18812","3,18625138133","B","3,18812","X","0,642137","0,00290999999999997","0","140","0,4842897355556488"
"As Kh Qd","JsKs","51,4726","0,430429","0,569571","3,89559","3,9315","3,91604329461","B","3,9315","B","0,569571","0,0359099999999999","0","140","0,4842897355556488"
"As Kh Qd","JsAc","12,5325","0,559362","0,440638","5,0751","5,14421","5,10555249218","B","5,14421","X","0,559362","0,0691100000000002","0","140","0,4842897355556488"
"As Kh Qd","JsAd","12,2985","0,623211","0,376789","5,13502","5,18284","5,15303804998","B","5,18284","X","0,623211","0,0478200000000006","0","140","0,4842897355556488"
"As Kh Qd","JsAh","12,2919","0,611575","0,388425","5,12205","5,18366","5,14598086425","B","5,18366","X","0,611575","0,0616099999999999","0","140","0,4842897355556488"
"As Kh Qd","QcQh","18,044","0,457573","0,542427","9,51619","9,51596","9,51606524179","X","9,51619","B","0,542427","0","0,000230000000000175","140","0,4842897355556488"
"As Kh Qd","QcQs","18,0882","0,370049","0,629952","9,46505","9,46921","9,46768006537","B","9,46921","B","0,629952","0,00416000000000061","0","140","0,4842897355556488"
