"board","combo","reach_probability","check_frequency","bet_frequency","ev_check_utg","ev_bet_utg","mixed_ev_utg","best_ev_action","best_ev_utg","highest_frequency_action","highest_frequency","loss_if_check_utg","loss_if_bet_utg","iteration","exploitability"
"As Kh Qd","5c5h","51,0508","1,4E-05","0,999986","2,2389","2,29407","2,29406922762","B","2,29407","B","0,999986","0,0551699999999999","0","113","0,4717705249786377"
"As Kh Qd","5c5s","51,0007","0","1","2,23065","2,28759","2,28759","B","2,28759","B","1","0,0569400000000004","0","113","0,4717705249786377"
"As Kh Qd","5c6c","56,8503","0,068608","0,931392","1,74699","1,78593","1,78325840448","B","1,78593","B","0,931392","0,0389400000000002","0","113","0,4717705249786377"
"As Kh Qd","5cKc","103,527","0,072551","0,927449","2,93095","2,98294","2,97916807351","B","2,98294","B","0,927449","0,05199","0","113","0,4717705249786377"
"As Kh Qd","5cAc","214,224","0","1","3,67601","3,76317","3,76317","B","3,76317","B","1","0,0871599999999999","0","113","0,4717705249786377"
"As Kh Qd","5d5h","51,1511","0,000196","0,999804","2,29054","2,3327","2,33269173664","B","2,3327","B","0,999804","0,04216","0","113","0,4717705249786377"
"As Kh Qd","5d5s","51,1009","1E-06","0,999999","2,28224","2,32909","2,32908995315","B","2,32909","B","0,999999","0,0468500000000001","0","113","0,4717705249786377"
"As Kh Qd","5d6d","57,1119","2E-06","0,999998","2,02651","2,04236","2,0423599683","B","2,04236","B","0,999998","0,0158499999999999","0","113","0,4717705249786377"
"As Kh Qd","5dKd","103,323","0,001614","0,998386","3,27638","3,28503","3,2850160389","B","3,28503","B","0,998386","0,00864999999999938","0","113","0,4717705249786377"
"As Kh Qd","5dAd","213,828","0","1","4,06583","4,07652","4,07652","B","4,07652","B","1","0,0106900000000003","0","113","0,4717705249786377"
"As Kh Qd","5h5s","51,1925","0","1","2,27961","2,33434","2,33434","B","2,33434","B","1","0,0547300000000002","0","113","0,4717705249786377"
"As Kh Qd","5h6h","57,2806","0,000599","0,999401","2,0362","2,05895","2,05893637275","B","2,05895","B","0,999401","0,0227500000000003","0","113","0,4717705249786377"
"As Kh Qd","5hAh","214,828","0,000834","0,999166","4,04815","4,05483","4,05482442888","B","4,05483","B","0,999166","0,00668000000000024","0","113","0,4717705249786377"
"As Kh Qd","5s6s","57,2058","5,8E-05","0,999942","2,05009","2,07354","2,0735386399","B","2,07354","B","0,999942","0,02345","0","113","0,4717705249786377"
"As Kh Qd","5sKs","103,711","0,00042","0,99958","3,39936","3,41103","3,4110250986","B","3,41103","B","0,99958","0,0116700000000001","0","113","0,4717705249786377"
"As Kh Qd","6c6d","142,575","3E-06","0,999997","2,21393","2,25721","2,25720987016","B","2,25721","B","0,999997","0,0432799999999998","0","113","0,4717705249786377"
"As Kh Qd","6c6h","142,74","0","1","2,21518","2,25863","2,25863","B","2,25863","B","1","0,04345","0","113","0,4717705249786377"
"As Kh Qd","6c6s","142,694","0","1","2,20699","2,25847","2,25847","B","2,25847","B","1","0,0514799999999997","0","113","0,4717705249786377"
"As Kh Qd","6c7c","59,2726","0,079409","0,920591","1,72757","1,76892","1,76563643785","B","1,76892","B","0,920591","0,04135","0","113","0,4717705249786377"
"As Kh Qd","6c8c","0,438704","0,132038","0,867962","1,73804","1,76877","1,76471247226","B","1,76877","B","0,867962","0,0307299999999997","0","113","0,4717705249786377"
"As Kh Qd","6cKc","88,9766","0,034783","0,965217","2,9362","2,98737","2,98559015389","B","2,98737","B","0,965217","0,0511699999999999","0","113","0,4717705249786377"
"As Kh Qd","6cAc","213,892","0","1","3,68761","3,76653","3,76653","B","3,76653","B","1","0,0789200000000001","0","113","0,4717705249786377"
"As Kh Qd","6d6h","143,114","2,9E-05","0,999971","2,26204","2,29617","2,29616901023","B","2,29617","B","0,999971","0,0341300000000002","0","113","0,4717705249786377"
"As Kh Qd","6d6s","143,067","0","1","2,25501","2,29777","2,29777","B","2,29777","B","1","0,0427599999999999","0","113","0,4717705249786377"
"As Kh Qd","6d7d","59,5922","0","1","2,02821","2,05167","2,05167","B","2,05167","B","1","0,02346","0","113","0,4717705249786377"
"As Kh Qd","6d8d","0,44152","1E-06","0,999999","2,04115","2,06013","2,06012998102","B","2,06013","B","0,999999","0,01898","0","113","0,4717705249786377"
"As Kh Qd","6dKd","88,8593","0,001182","0,998818","3,28119","3,29065","3,29063881828","B","3,29065","B","0,998818","0,00946000000000025","0","113","0,4717705249786377"
"As Kh Qd","6dAd","213,638","0,004","0,996","4,07246","4,07719","4,07717108","B","4,07719","B","0,996","0,00472999999999946","0","113","0,4717705249786377"
"As Kh Qd","6h6s","143,232","0","1","2,25557","2,29908","2,29908","B","2,29908","B","1","0,0435099999999999","0","113","0,4717705249786377"
"As Kh Qd","6h7h","59,7305","7,6E-05","0,999924","2,03687","2,0642","2,06419792292","B","2,0642","B","0,999924","0,0273300000000001","0","113","0,4717705249786377"
"As Kh Qd","6h8h","0,442256","0,004404","0,995596","2,05471","2,07474","2,07465178788","B","2,07474","B","0,995596","0,0200299999999998","0","113","0,4717705249786377"
"As Kh Qd","6hAh","214,496","0,00135","0,99865","4,04951","4,05295","4,052945356","B","4,05295","B","0,99865","0,00344000000000033","0","113","0,4717705249786377"
"As Kh Qd","6s7s","59,6938","3E-05","0,99997","2,05233","2,08276","2,0827590871","B","2,08276","B","0,99997","0,03043","0","113","0,4717705249786377"
"As Kh Qd","6s8s","0,441792","1,3E-05","0,999987","2,06377","2,09652","2,09651957425","B","2,09652","B","0,999987","0,0327500000000001","0","113","0,4717705249786377"
"As Kh Qd","6sKs","89,1947","8,4E-05","0,999916","3,39218","3,4078","3,40779868792","B","3,4078","B","0,999916","0,0156200000000006","0","113","0,4717705249786377"
"As Kh Qd","7c7d","219,952","7,8E-05","0,999922","2,20879","2,24081","2,24080750244","B","2,24081","B","0,999922","0,0320200000000002","0","113","0,4717705249786377"
"As Kh Qd","7c7h","220,208","0","1","2,21138","2,24536","2,24536","B","2,24536","B","1","0,0339800000000001","0","113","0,4717705249786377"
"As Kh Qd","7c7s","220,144","0","1","2,20417","2,24889","2,24889","B","2,24889","B","1","0,0447200000000003","0","113","0,4717705249786377"
"As Kh Qd","7c8c","46,3915","0,161819","0,838181","1,72802","1,75836","1,75345041154","B","1,75836","B","0,838181","0,03034","0","113","0,4717705249786377"
"As Kh Qd","7cKc","53,2929","0,104589","0,895411","2,94611","2,99944","2,99386226863","B","2,99944","B","0,895411","0,0533299999999999","0","113","0,4717705249786377"
"As Kh Qd","7cAc","213,522","0","1","3,7065","3,77674","3,77674","B","3,77674","B","1","0,0702400000000005","0","113","0,4717705249786377"
"As Kh Qd","7d7h","220,814","1E-06","0,999999","2,26055","2,29018","2,29017997037","B","2,29018","B","0,999999","0,0296300000000005","0","113","0,4717705249786377"
"As Kh Qd","7d7s","220,75","0","1","2,25334","2,29454","2,29454","B","2,29454","B","1","0,0411999999999999","0","113","0,4717705249786377"
"As Kh Qd","7d8d","46,696","0","1","2,04183","2,06502","2,06502","B","2,06502","B","1","0,02319","0","113","0,4717705249786377"
"As Kh Qd","7dKd","53,2295","0,001316","0,998684","3,28744","3,30359","3,3035687466","B","3,30359","B","0,998684","0,0161499999999997","0","113","0,4717705249786377"
"As Kh Qd","7dAd","213,296","0,003112","0,996888","4,07888","4,08115","4,08114293576","B","4,08115","B","0,996888","0,00227000000000022","0","113","0,4717705249786377"
"As Kh Qd","7h7s","221,006","0","1","2,2546","2,29815","2,29815","B","2,29815","B","1","0,0435500000000002","0","113","0,4717705249786377"
"As Kh Qd","7h8h","46,774","0,001305","0,998695","2,05538","2,07873","2,07869952825","B","2,07873","B","0,998695","0,0233499999999998","0","113","0,4717705249786377"
"As Kh Qd","7hAh","214,154","0,001709","0,998291","4,05665","4,05945","4,0594452148","B","4,05945","B","0,998291","0,00280000000000058","0","113","0,4717705249786377"
"As Kh Qd","7s8s","46,7265","8E-06","0,999992","2,06714","2,10617","2,10616968776","B","2,10617","B","0,999992","0,0390299999999999","0","113","0,4717705249786377"
"As Kh Qd","7sKs","53,4327","0,000241","0,999759","3,40094","3,42147","3,42146505227","B","3,42147","B","0,999759","0,0205300000000004","0","113","0,4717705249786377"
"As Kh Qd","8c8d","219,46","0,003205","0,996795","2,23016","2,23725","2,23722727655","B","2,23725","B","0,996795","0,00708999999999982","0","113","0,4717705249786377"
"As Kh Qd","8c8h","219,572","0,000422","0,999578","2,23843","2,24735","2,24734623576","B","2,24735","B","0,999578","0,00891999999999982","0","113","0,4717705249786377"
"As Kh Qd","8c8s","219,412","0","1","2,23407","2,25057","2,25057","B","2,25057","B","1","0,0165000000000002","0","113","0,4717705249786377"
"As Kh Qd","8c9c","25,8295","0,189676","0,810324","1,75208","1,76305","1,76096925428","B","1,76305","B","0,810324","0,0109700000000001","0","113","0,4717705249786377"
"As Kh Qd","8cTc","0,43486","0,003345","0,996655","2,56758","2,59152","2,5914399207","B","2,59152","B","0,996655","0,0239400000000001","0","113","0,4717705249786377"
"As Kh Qd","8cKc","193,004","0,008562","0,991438","2,93846","3,00346","3,00290347","B","3,00346","B","0,991438","0,0649999999999999","0","113","0,4717705249786377"
"As Kh Qd","8cAc","213,16","0","1","3,72901","3,78873","3,78873","B","3,78873","B","1","0,05972","0","113","0,4717705249786377"
"As Kh Qd","8d8h","220,402","0,001454","0,998546","2,28829","2,29749","2,2974766232","B","2,29749","B","0,998546","0,00920000000000032","0","113","0,4717705249786377"
"As Kh Qd","8d8s","220,242","0","1","2,28323","2,30289","2,30289","B","2,30289","B","1","0,01966","0","113","0,4717705249786377"
"As Kh Qd","8d9d","26,0143","0,000223","0,999777","2,06899","2,08683","2,08682602168","B","2,08683","B","0,999777","0,0178399999999996","0","113","0,4717705249786377"
"As Kh Qd","8dTd","0,436856","0","1","2,87045","2,9008","2,9008","B","2,9008","B","1","0,0303499999999999","0","113","0,4717705249786377"
"As Kh Qd","8dKd","192,973","0,000106","0,999894","3,27702","3,30024","3,30023753868","B","3,30024","B","0,999894","0,0232199999999998","0","113","0,4717705249786377"
"As Kh Qd","8dAd","213,158","0,004891","0,995109","4,09629","4,0978","4,09779261459","B","4,0978","B","0,995109","0,00151000000000057","0","113","0,4717705249786377"
"As Kh Qd","8h8s","220,354","0","1","2,2901","2,31169","2,31169","B","2,31169","B","1","0,0215900000000002","0","113","0,4717705249786377"
"As Kh Qd","8h9h","26,0504","2E-05","0,99998","2,06572","2,0964","2,0963993864","B","2,0964","B","0,99998","0,0306800000000003","0","113","0,4717705249786377"
"As Kh Qd","8hTh","0,437688","2,1E-05","0,999979","2,87403","2,89021","2,89020966022","B","2,89021","B","0,999979","0,0161799999999999","0","113","0,4717705249786377"
"As Kh Qd","8hAh","213,872","0,003436","0,996564","4,07333","4,07536","4,07535302492","B","4,07536","B","0,996564","0,00202999999999953","0","113","0,4717705249786377"
"As Kh Qd","8s9s","26,0367","3E-06","0,999997","2,07412","2,11429","2,11428987949","B","2,11429","B","0,999997","0,0401700000000003","0","113","0,4717705249786377"
"As Kh Qd","8sTs","0,4357","2,1E-05","0,999979","2,90121","2,92598","2,92597947983","B","2,92598","B","0,999979","0,0247700000000002","0","113","0,4717705249786377"
"As Kh Qd","8sKs","193,496","0","1","3,37978","3,41097","3,41097","B","3,41097","B","1","0,0311899999999996","0","113","0,4717705249786377"
"As Kh Qd","9c9d","219,93","0,037812","0,962188","2,24632","2,25171","2,25150619332","B","2,25171","B","0,962188","0,00539000000000023","0","113","0,4717705249786377"
"As Kh Qd","9c9h","220,124","0,026853","0,973147","2,24661","2,25428","2,25407403749","B","2,25428","B","0,973147","0,00767000000000007","0","113","0,4717705249786377"
"As Kh Qd","9c9s","220,168","0,024646","0,975354","2,24891","2,25406","2,2539330731","B","2,25406","B","0,975354","0,00514999999999999","0","113","0,4717705249786377"
"As Kh Qd","9cTc","167,586","0,006289","0,993711","2,57178","2,58827","2,58816629439","B","2,58827","B","0,993711","0,0164900000000001","0","113","0,4717705249786377"
"As Kh Qd","9cJc","71,1345","0,00184","0,99816","2,55834","2,60776","2,6076690672","B","2,60776","B","0,99816","0,0494199999999996","0","113","0,4717705249786377"
"As Kh Qd","9cQc","218,454","6E-06","0,999994","2,64741","2,69302","2,69301972634","B","2,69302","B","0,999994","0,0456099999999999","0","113","0,4717705249786377"
"As Kh Qd","9cKc","216,638","0,002033","0,997967","2,94165","3,02492","3,02475071209","B","3,02492","B","0,997967","0,0832699999999997","0","113","0,4717705249786377"
"As Kh Qd","9cAc","213,63","0","1","3,75437","3,81139","3,81139","B","3,81139","B","1","0,0570200000000001","0","113","0,4717705249786377"
"As Kh Qd","9d9h","220,86","0,002422","0,997578","2,30069","2,31137","2,31134413304","B","2,31137","B","0,997578","0,0106799999999998","0","113","0,4717705249786377"
"As Kh Qd","9d9s","220,904","3,8E-05","0,999962","2,30266","2,31237","2,31236963102","B","2,31237","B","0,999962","0,00971000000000011","0","113","0,4717705249786377"
"As Kh Qd","9dTd","168,282","0,002951","0,997049","2,87335","2,88173","2,88170527062","B","2,88173","B","0,997049","0,00838000000000028","0","113","0,4717705249786377"
"As Kh Qd","9dJd","71,2258","0,000645","0,999355","2,87226","2,89533","2,89531511985","B","2,89533","B","0,999355","0,0230700000000001","0","113","0,4717705249786377"
"As Kh Qd","9dKd","216,51","5,7E-05","0,999943","3,28381","3,31491","3,3149082273","B","3,31491","B","0,999943","0,0310999999999999","0","113","0,4717705249786377"
"As Kh Qd","9dAd","213,534","0,013385","0,986615","4,11444","4,1168","4,1167684114","B","4,1168","B","0,986615","0,00235999999999947","0","113","0,4717705249786377"
"As Kh Qd","9h9s","221,098","2,3E-05","0,999977","2,30319","2,31625","2,31624969962","B","2,31625","B","0,999977","0,0130600000000003","0","113","0,4717705249786377"
"As Kh Qd","9hTh","168,665","0,003381","0,996619","2,86639","2,87478","2,87475163341","B","2,87478","B","0,996619","0,00839000000000034","0","113","0,4717705249786377"
"As Kh Qd","9hJh","71,2382","2,6E-05","0,999974","2,87481","2,90912","2,90911910794","B","2,90912","B","0,999974","0,0343100000000001","0","113","0,4717705249786377"
"As Kh Qd","9hQh","218,52","0,000238","0,999762","2,98144","3,02343","3,02342000638","B","3,02343","B","0,999762","0,0419900000000002","0","113","0,4717705249786377"
"As Kh Qd","9hAh","214,33","0,009533","0,990467","4,09152","4,09349","4,09347121999","B","4,09349","B","0,990467","0,00197000000000003","0","113","0,4717705249786377"
"As Kh Qd","9sTs","168,057","0,002667","0,997333","2,8882","2,89607","2,89604901071","B","2,89607","B","0,997333","0,0078699999999996","0","113","0,4717705249786377"
"As Kh Qd","9sJs","71,3105","9E-06","0,999991","2,88726","2,92357","2,92356967321","B","2,92357","B","0,999991","0,0363100000000003","0","113","0,4717705249786377"
"As Kh Qd","9sQs","218,596","0","1","3,00719","3,0365","3,0365","B","3,0365","B","1","0,0293099999999997","0","113","0,4717705249786377"
"As Kh Qd","9sKs","217,382","0","1","3,37103","3,39974","3,39974","B","3,39974","B","1","0,0287100000000002","0","113","0,4717705249786377"
"As Kh Qd","TcTd","216,42","0","1","3,02753","3,06725","3,06725","B","3,06725","B","1","0,03972","0","113","0,4717705249786377"
"As Kh Qd","TcTh","216,724","0","1","3,01795","3,05502","3,05502","B","3,05502","B","1","0,0370699999999999","0","113","0,4717705249786377"
"As Kh Qd","TcTs","215,89","0","1","3,02994","3,0847","3,0847","B","3,0847","B","1","0,0547600000000004","0","113","0,4717705249786377"
"As Kh Qd","TcJc","216,672","0","1","9,74168","9,96663","9,96663","B","9,96663","B","1","0,224950000000002","0","113","0,4717705249786377"
"As Kh Qd","TcQc","216,822","0,019591","0,980409","3,28708","3,28646","3,28647214642","X","3,28708","B","0,980409","0","0,000620000000000065","113","0,4717705249786377"
"As Kh Qd","TcQh","12,0842","0","1","3,34061","3,3776","3,3776","B","3,3776","B","1","0,0369899999999999","0","113","0,4717705249786377"
"As Kh Qd","TcQs","12,086","0","1","3,33944","3,36241","3,36241","B","3,36241","B","1","0,0229699999999999","0","113","0,4717705249786377"
"As Kh Qd","TcKc","214,946","0","1","3,64087","3,65469","3,65469","B","3,65469","B","1","0,0138199999999995","0","113","0,4717705249786377"
"As Kh Qd","TcKd","67,0735","0","1","3,70489","3,71595","3,71595","B","3,71595","B","1","0,0110600000000001","0","113","0,4717705249786377"
"As Kh Qd","TcKs","67,2726","0,000117","0,999883","3,69866","3,70295","3,70294949807","B","3,70295","B","0,999883","0,00428999999999968","0","113","0,4717705249786377"
"As Kh Qd","TcAc","211,832","0,006804","0,993196","4,42701","4,4315","4,43146945004","B","4,4315","B","0,993196","0,00448999999999966","0","113","0,4717705249786377"
"As Kh Qd","TcAd","211,362","0,031836","0,968164","4,47274","4,47634","4,4762253904","B","4,47634","B","0,968164","0,0035999999999996","0","113","0,4717705249786377"
"As Kh Qd","TcAh","211,964","0,027437","0,972563","4,45102","4,45404","4,45395714026","B","4,45404","B","0,972563","0,00302000000000024","0","113","0,4717705249786377"
"As Kh Qd","TdTh","216,892","0","1","3,04768","3,09567","3,09567","B","3,09567","B","1","0,04799","0","113","0,4717705249786377"
"As Kh Qd","TdTs","216,058","0","1","3,06102","3,12824","3,12824","B","3,12824","B","1","0,0672199999999998","0","113","0,4717705249786377"
"As Kh Qd","TdJd","216,384","7E-06","0,999993","9,81424","9,835","9,83499985468","B","9,835","B","0,999993","0,0207599999999992","0","113","0,4717705249786377"
"As Kh Qd","TdQc","12,142","0","1","3,30479","3,36354","3,36354","B","3,36354","B","1","0,0587499999999999","0","113","0,4717705249786377"
"As Kh Qd","TdQh","12,0936","0","1","3,35387","3,45057","3,45057","B","3,45057","B","1","0,0967000000000002","0","113","0,4717705249786377"
"As Kh Qd","TdQs","12,0954","0","1","3,35264","3,43585","3,43585","B","3,43585","B","1","0,0832099999999998","0","113","0,4717705249786377"
"As Kh Qd","TdKc","67,3976","0","1","3,65916","3,70468","3,70468","B","3,70468","B","1","0,0455199999999998","0","113","0,4717705249786377"
"As Kh Qd","TdKd","214,25","0","1","3,95804","3,97918","3,97918","B","3,97918","B","1","0,0211400000000008","0","113","0,4717705249786377"
"As Kh Qd","TdKs","67,3254","0","1","3,71237","3,74768","3,74768","B","3,74768","B","1","0,03531","0","113","0,4717705249786377"
"As Kh Qd","TdAc","212,362","0,013335","0,986665","4,4558","4,45849","4,45845412885","B","4,45849","B","0,986665","0,00268999999999942","0","113","0,4717705249786377"
"As Kh Qd","TdAd","211,168","2E-06","0,999998","4,79137","4,80915","4,80914996444","B","4,80915","B","0,999998","0,017780000000001","0","113","0,4717705249786377"
"As Kh Qd","TdAh","212,132","0,007953","0,992047","4,48106","4,48553","4,48549445009","B","4,48553","B","0,992047","0,00446999999999953","0","113","0,4717705249786377"
"As Kh Qd","ThTs","216,362","0","1","3,04931","3,12007","3,12007","B","3,12007","B","1","0,0707600000000004","0","113","0,4717705249786377"
"As Kh Qd","ThJh","216,532","0,000625","0,999375","9,82007","9,83263","9,83262215","B","9,83263","B","0,999375","0,0125600000000006","0","113","0,4717705249786377"
"As Kh Qd","ThQc","12,1591","0","1","3,29723","3,33763","3,33763","B","3,33763","B","1","0,0404","0","113","0,4717705249786377"
"As Kh Qd","ThQh","216,43","5E-06","0,999995","3,6305","3,6431","3,643099937","B","3,6431","B","0,999995","0,0125999999999995","0","113","0,4717705249786377"
"As Kh Qd","ThQs","12,1125","0","1","3,34606","3,41295","3,41295","B","3,41295","B","1","0,0668899999999999","0","113","0,4717705249786377"
"As Kh Qd","ThKc","67,493","0","1","3,66374","3,7133","3,7133","B","3,7133","B","1","0,0495600000000005","0","113","0,4717705249786377"
"As Kh Qd","ThKd","67,2217","0","1","3,72412","3,76836","3,76836","B","3,76836","B","1","0,0442399999999998","0","113","0,4717705249786377"
"As Kh Qd","ThKs","67,4208","0","1","3,71591","3,75502","3,75502","B","3,75502","B","1","0,0391099999999995","0","113","0,4717705249786377"
"As Kh Qd","ThAc","212,666","0,007155","0,992845","4,46156","4,46428","4,4642605384","B","4,46428","B","0,992845","0,00272000000000006","0","113","0,4717705249786377"
"As Kh Qd","ThAd","211,834","0,00473","0,99527","4,51015","4,51361","4,5135936342","B","4,51361","B","0,99527","0,00345999999999957","0","113","0,4717705249786377"
"As Kh Qd","ThAh","212,074","0,000614","0,999386","4,77595","4,78403","4,78402503888","B","4,78403","B","0,999386","0,00807999999999964","0","113","0,4717705249786377"
"As Kh Qd","TsJs","215,876","0,000123","0,999877","9,7408","9,75736","9,75735796312","B","9,75736","B","0,999877","0,0165600000000001","0","113","0,4717705249786377"
"As Kh Qd","TsQc","12,1124","0","1","3,31023","3,36425","3,36425","B","3,36425","B","1","0,05402","0","113","0,4717705249786377"
"As Kh Qd","TsQh","12,064","0","1","3,36017","3,45019","3,45019","B","3,45019","B","1","0,09002","0","113","0,4717705249786377"
"As Kh Qd","TsQs","215,628","0,007391","0,992609","3,65034","3,6564","3,65635521054","B","3,6564","B","0,992609","0,00606000000000018","0","113","0,4717705249786377"
"As Kh Qd","TsKc","67,2312","0","1","3,66611","3,71978","3,71978","B","3,71978","B","1","0,0536700000000003","0","113","0,4717705249786377"
"As Kh Qd","TsKd","66,9599","0","1","3,72672","3,77726","3,77726","B","3,77726","B","1","0,0505399999999994","0","113","0,4717705249786377"
"As Kh Qd","TsKs","214,354","0","1","4,05429","4,12721","4,12721","B","4,12721","B","1","0,0729199999999999","0","113","0,4717705249786377"
"As Kh Qd","TsAc","211,832","0,002546","0,997454","4,45165","4,46029","4,46026800256","B","4,46029","B","0,997454","0,00863999999999976","0","113","0,4717705249786377"
"As Kh Qd","TsAd","211","0,000578","0,999422","4,50336","4,50989","4,50988622566","B","4,50989","B","0,999422","0,00653000000000059","0","113","0,4717705249786377"
"As Kh Qd","TsAh","211,602","0,000653","0,999347","4,48175","4,48726","4,48725640197","B","4,48726","B","0,999347","0,00551000000000013","0","113","0,4717705249786377"
"As Kh Qd","JcJd","216,584","0,000674","0,999326","3,08961","3,09777","3,09776450016","B","3,09777","B","0,999326","0,00815999999999972","0","113","0,4717705249786377"
"As Kh Qd","JcJh","216,428","0,004004","0,995996","3,09154","3,09792","3,09789445448","B","3,09792","B","0,995996","0,00637999999999961","0","113","0,4717705249786377"
"As Kh Qd","JcJs","216,606","0,000924","0,999076","3,09701","3,10628","3,10627143452","B","3,10628","B","0,999076","0,00926999999999989","0","113","0,4717705249786377"
"As Kh Qd","JcQc","216,934","0,067156","0,932844","3,26288","3,27969","3,27856110764","B","3,27969","B","0,932844","0,01681","0","113","0,4717705249786377"
